operator_case_id,scenario_id,repeat,selected_attempt,status,intent_fidelity,task_completion,constraint_adherence,truthfulness,response_integrity,state_consistency,recovery_quality,ux_clarity,decision,attempt_history,evidence_basis
OP-0001,FUNC-0001,1,1,PASS,2,2,2,2,2,NA,NA,2,"Direct correct nitrogen answer.","none","catalog and selected GUI record"
OP-0001,FUNC-0001,2,1,PASS,2,2,2,2,2,NA,NA,2,"Direct correct nitrogen answer.","none","catalog and selected GUI record"
OP-0002,FUNC-0002,1,1,PASS,2,2,2,2,2,NA,NA,2,"Clear age-appropriate causal explanation.","none","catalog and selected GUI record"
OP-0002,FUNC-0002,2,1,PASS,2,2,2,2,2,NA,NA,2,"Clear age-appropriate causal explanation.","none","catalog and selected GUI record"
OP-0003,FUNC-0003,1,1,PASS,2,2,2,1,2,NA,NA,2,"All three criteria and the SQLite choice are present; backup wording is simplified.","none","catalog and selected GUI record"
OP-0003,FUNC-0003,2,1,PASS,2,2,2,1,2,NA,NA,2,"All three criteria and the SQLite choice are present; backup wording is simplified.","none","catalog and selected GUI record"
OP-0004,FUNC-0004,1,1,PASS,2,2,2,2,2,NA,NA,2,"All required facts are preserved in one sentence.","none","catalog and selected GUI record"
OP-0004,FUNC-0004,2,1,PASS,2,2,2,2,2,NA,NA,2,"All required facts are preserved in one sentence.","none","catalog and selected GUI record"
OP-0005,FUNC-0005,1,1,PASS,2,2,2,2,2,NA,NA,2,"Two valid even numbers and one explanation; no tool output.","none","catalog and selected GUI record"
OP-0005,FUNC-0005,2,1,PASS,2,2,2,2,2,NA,NA,2,"Two valid even numbers and one explanation; no tool output.","none","catalog and selected GUI record"
OP-0005,FUNC-0005,3,1,PASS,2,2,2,2,2,NA,NA,2,"Two valid even numbers and one explanation; no tool output.","none","catalog and selected GUI record"
OP-0006,FUNC-0006,1,1,FAIL,0,0,0,1,2,NA,0,0,"DNS was misrouted to the retailer search path and the requested explanation was not given.","none","catalog and selected GUI record"
OP-0006,FUNC-0006,2,1,FAIL,0,0,0,1,2,NA,0,0,"DNS was misrouted to the retailer search path and the requested explanation was not given.","none","catalog and selected GUI record"
