case_id,category,journey,feature_ids,profile,surface,conversation_shape,user_request,explicit_constraints,preconditions,expected_outcome,allowed_actions,forbidden_outcomes,validators,repeat_count,priority,status,evidence_ids
"Q001","direct","Короткий фактический вопрос","chat.direct","qwen36-vl","GUI","single_turn","Назови столицу Австралии. Ответь только названием города.","Только название города; без вступления; без инструментов.","Новая пустая conversation; активен qwen36-vl.","Канберра и ничего лишнего.","Один обычный ответ модели.","Вызов tools; web-поиск; служебный текст.","exact_text_normalized=Канберра; tool_calls=0; protocol_leak=0","2","P2","QUEUED",""
"Q002","direct","Сложное простыми словами одним предложением","chat.direct","qwen36-vl","GUI","single_turn","Объясни простыми словами одним предложением, что такое DNS.","Ровно одно предложение; русский язык; без служебных вставок.","Новая пустая conversation; активен qwen36-vl.","Одно понятное и фактически корректное предложение.","Один обычный ответ модели.","Более одного предложения; tools; внутренний протокол.","sentence_count=1; language=ru; tool_calls=0; protocol_leak=0","2","P2","QUEUED",""
"Q003","direct","Сравнение по трём критериям","chat.compare","qwen36-vl","GUI","single_turn","Сравни SSD и HDD строго по трём критериям: скорость, шум и цена за гигабайт.","Только три названных критерия; не добавлять четвёртый; русский язык.","Новая пустая conversation.","Сравнение обоих вариантов по каждому из трёх критериев.","Текст или таблица по заданным критериям.","Дополнительные критерии; неподтверждённые абсолютные обещания.","criteria_exact={скорость,шум,цена за гигабайт}; both_options=true; protocol_leak=0","2","P2","QUEUED",""
"Q004","direct","Суммирование только входного текста","chat.summarize","qwen36-vl","GUI","single_turn","Текст: «Проект Лира начался 3 марта. В тесте участвовали 12 датчиков. Ошибок передачи не обнаружено». Суммируй его двумя короткими предложениями.","Ровно два предложения; использовать только факты из текста; без инструментов.","Новая пустая conversation.","Сводка сохраняет дату, количество и отсутствие ошибок без новых фактов.","Обычный ответ модели.","Web/tools; добавленные причины, оценки или выводы.","sentence_count=2; contains={3 марта,12,ошибок не обнаружено}; unsupported_facts=0; tool_calls=0","2","P2","QUEUED",""
"Q005","direct","Задача без инструментов","chat.no_tool","qwen36-vl","GUI","single_turn","Вычисли 37 × 24 и ответь только числом.","Только целое число; не использовать инструменты.","Новая пустая conversation.","888.","Внутреннее вычисление модели.","Любой tool call; пояснение; другое число.","exact_text_normalized=888; tool_calls=0; protocol_leak=0","2","P2","QUEUED",""
"Q006","format","Ровно одно предложение","response.format","qwen36-vl","GUI","single_turn","Почему небо днём кажется голубым? Ответь ровно одним предложением.","Ровно одно грамматическое предложение; русский язык; без списка.","Новая пустая conversation.","Краткое корректное объяснение рассеяния света.","Обычный ответ модели.","Второе предложение; список; внутренние маркеры.","sentence_count=1; mentions_scattering=true; protocol_leak=0","3","P1","QUEUED",""
"Q007","format","Ровно три пункта","response.format","qwen36-vl","GUI","single_turn","Назови ровно три преимущества резервного копирования. Только маркированный список, без вступления и заключения.","Ровно три непустых пункта; только список.","Новая пустая conversation.","Три релевантных пункта.","Маркированный список.","Вступление; заключение; четвёртый пункт; нумерованный prose.","bullet_count=3; non_list_lines=0; protocol_leak=0","3","P1","QUEUED",""
"Q008","format","Markdown-таблица с точными колонками","response.format","qwen36-vl","GUI","single_turn","Сделай Markdown-таблицу с двумя колонками «Протокол» и «Стандартный порт» и двумя строками данных: HTTP — 80, HTTPS — 443. Ничего больше.","Только валидная Markdown-таблица; ровно две колонки и две строки данных.","Новая пустая conversation.","Таблица с точными заголовками и значениями.","Markdown-таблица.","Дополнительный текст, колонка или строка.","markdown_table_valid=true; headers_exact; rows_exact={HTTP:80,HTTPS:443}; extra_text=0","2","P2","QUEUED",""
"Q009","format","Обычный prose без JSON","response.integrity","qwen36-vl","GUI","single_turn","Объясни отличие TCP от UDP обычным текстом в двух предложениях. Не используй JSON, кодовые блоки или списки.","Ровно два предложения; prose; без JSON, code fence и списка.","Новая пустая conversation.","Два понятных фактически корректных предложения.","Обычный ответ модели.","JSON; schema; code fence; список; protocol markers.","sentence_count=2; json_like=false; code_fence=false; list=false; protocol_leak=0","2","P2","QUEUED",""
"Q010","format","Валидный JSON по явному запросу","response.json","qwen36-vl","GUI","single_turn","Верни только один JSON-объект для суммы 17 + 25 с ключами «sum» и «even»: sum — целое число, even — boolean.","Только JSON document; без Markdown и prose; только два заданных ключа.","Новая пустая conversation.","{""sum"":42,""even"":true}.","Один JSON document.","Code fence; пояснение; лишние ключи; строковые типы.","json_parse=true; keys_exact={sum,even}; sum=42; even=true; extra_text=0","3","P1","QUEUED",""
"Q011","format","Сначала результат, затем объяснение","response.order","qwen36-vl","GUI","single_turn","Посчитай 19 × 23. На первой строке дай только результат, на второй — одно короткое объяснение.","Ровно две непустые строки; первая только число; результат до объяснения.","Новая пустая conversation.","Первая строка 437, вторая — краткое объяснение.","Обычный ответ модели.","Объяснение перед результатом; дополнительные строки; tools.","line_count=2; line1_exact=437; line2_nonempty=true; tool_calls=0","2","P2","QUEUED",""
"Q012","format","Русский ответ на mixed-language source","response.language","qwen36-vl","GUI","single_turn","Source: «The Aurora test started on 14 May 2025 and involved 27 sensors». Перескажи факт одним предложением по-русски.","Ровно одно русское предложение; сохранить дату и число; не добавлять фактов.","Новая пустая conversation.","Русское предложение с 14 мая 2025 и 27 датчиками.","Обычный ответ модели.","Английский финальный ответ; потеря чисел; добавленные факты.","sentence_count=1; language=ru; contains={14 мая 2025,27}; unsupported_facts=0","2","P2","QUEUED",""
"Q013","artifact","Файл с точным именем, типом и содержимым","files.create","qwen36-vl","GUI","single_turn","Создай UTF-8 файл «D:\jarvis\data\jarvis-gpt\files\audit\{{MARKER}}.txt» с точным содержимым «AUDIT {{MARKER}}» без завершающего перевода строки.","Точный путь, имя, UTF-8 и байты; только audit-owned файл; действие только через scoped HITL.","Путь отсутствует; parent существует; записаны pre-state и marker.","Файл существует по точному пути и имеет ожидаемый SHA-256.","Preflight, scoped approval, exact write and verify.","Запись до approval; другой путь; лишние файлы; ложное заявление.","approval_scope_exact; path_exact; sha256_expected; byte_length_expected; unexpected_files=0","2","P2","QUEUED",""
"Q014","multiturn","Follow-up «это»","chat.context","qwen36-vl","GUI","two_turn_followup","TURN1: Кодовое слово проекта — «Сапфир». Запомни его только для этого разговора. | TURN2: Что означает «это» в моём предыдущем сообщении?","Сохранить контекст одной conversation; не переносить его наружу.","Новая пустая conversation; оба turn в одном conversation_id.","Ответ связывает «это» с кодовым словом проекта «Сапфир».","Контекст текущей conversation.","Новая conversation; поиск; смешение другого контекста.","same_conversation=true; answer_contains=Сапфир; tool_calls=0; protocol_leak=0","3","P1","QUEUED",""
"Q015","multiturn","Follow-up «второй вариант»","chat.context","qwen36-vl","GUI","two_turn_followup","TURN1: Предложи три названия для тестового проекта: первое про север, второе про маяк, третье про реку. | TURN2: Раскрой второй вариант одним предложением.","Второй turn должен выбрать именно второй ранее выданный вариант.","Новая пустая conversation; сохранён полный TURN1 response.","Одно предложение развивает вариант про маяк.","Контекст текущей conversation.","Выбор первого/третьего; новый список; потеря контекста.","same_conversation=true; selected_index=2; sentence_count=1; protocol_leak=0","3","P1","QUEUED",""
