operator_case_id,scenario_id,group_id,profile,title,request_template,follow_up_template,expected_result,constraints,forbidden_output,deterministic_validators,semantic_review_passes,rubric_dimensions,critical,repeat_count,status,evidence_path
OP-0001,FUNC-0001,G03,gemma4-turbo,Короткий вопрос,Какой газ преобладает в атмосфере Земли? Ответь кратко.,,Азот назван прямо и без лишнего обхода,Русский; кратко,Служебные структуры; JSON envelope; traceback,Language; expected fact; marker scan,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,FALSE,2,PASS,evidence/gui_operator_runs.jsonl
OP-0002,FUNC-0002,G03,gemma4-turbo,Объяснение простыми словами,"Объясни простыми словами, почему возникает северное сияние, для школьника 12 лет.",,Понятное причинное объяснение без фактических ошибок,Русский; школьный уровень; без формул,Необъяснённый жаргон; служебные структуры,Key-fact checklist; readability; marker scan,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,FALSE,2,PASS,evidence/gui_operator_runs.jsonl
OP-0003,FUNC-0003,G03,gemma4-turbo,Сравнение по критериям,"Сравни PostgreSQL и SQLite только по трём критериям: развёртывание, конкурентная запись, резервное копирование. В конце выбери вариант для локального однопользовательского приложения.",,Все три критерия и обоснованный выбор,Только заданные критерии; короткий вывод,Нерелевантные критерии; raw tool output,Criterion coverage; conclusion check; marker scan,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,FALSE,2,PASS,evidence/gui_operator_runs.jsonl
OP-0004,FUNC-0004,G03,gemma4-turbo,Суммирование текста,"Кратко перескажи этот текст, сохранив дату, сумму и решение: 15 мая комиссия рассмотрела заявку на 240000 рублей и одобрила её при условии двух подписей.",,"Сохранены 15 мая, 240000 рублей, одобрение и условие двух подписей",Русский; максимум три предложения,Выдуманные факты; потеря ключевых данных,Exact fact checklist; sentence count; marker scan,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,FALSE,2,PASS,evidence/gui_operator_runs.jsonl
OP-0005,FUNC-0005,G05,gemma4-turbo,Без ненужных tools,"Назови два чётных числа между 10 и 20 и объясни одним предложением, почему они чётные.",,Ответ вычислен без инструментов,Русский; два числа; одно объясняющее предложение,Любой tool call; служебный envelope,Tool-run delta zero; number/count validator; marker scan,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,TRUE,3,PASS,evidence/gui_operator_runs.jsonl
OP-0006,FUNC-0006,G03,gemma4-turbo,Одно предложение,Одним предложением объясни назначение DNS.,,Ровно одно корректное предложение,Одно предложение; русский; без списка,Преамбула; второй sentence; JSON,Sentence count; language; marker scan,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,FALSE,2,FAIL,evidence/gui_operator_runs.jsonl
OP-0007,FUNC-0007,G03,gemma4-turbo,Ровно пять пунктов,Дай ровно 5 пунктов проверки резервной копии перед восстановлением.,,Пять полезных пунктов,Ровно пять Markdown bullets; без вступления и заключения,Шестой пункт; нумерация вне списка; JSON,List item count; Markdown parse; marker scan,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,FALSE,2,FAIL,evidence/gui_operator_runs.jsonl
OP-0008,FUNC-0008,G03,gemma4-turbo,Markdown table,"Сделай Markdown-таблицу из трёх строк данных с колонками Город, Река: Казань—Волга, Москва—Москва-река, Новосибирск—Обь. Ничего кроме таблицы.",,Одна таблица с точными ячейками,Три data rows; две колонки; без prose,Лишние строки или колонки; JSON,Markdown table parser; exact cells,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,FALSE,2,PASS,evidence/gui_operator_runs.jsonl
OP-0009,FUNC-0009,G03,gemma4-turbo,Prose без JSON,"Обычным связным текстом объясни, зачем проверять хэш скачанного файла. Не используй JSON, таблицы и списки.",,Чистый пользовательский prose,Русский; prose; без JSON/table/list,Tool/function envelopes; events; role markers; internal instructions; traceback,Envelope detector; list/table/JSON detector; marker scan,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,TRUE,3,PASS,evidence/gui_operator_runs.jsonl
OP-0010,FUNC-0010,G03,gemma4-turbo,Явный JSON,"Верни только валидный JSON-объект с ключами status и count, значениями ready и 3.",,Ровно status=ready и count=3 семантически,Только JSON; без Markdown fence и prose,Лишние ключи; escaped outer string; служебный envelope,JSON parser; exact keys/types/values,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,FALSE,2,FAIL,evidence/gui_operator_runs.jsonl
OP-0011,FUNC-0011,G03,gemma4-turbo,Результат первым,"Посчитай 37 умножить на 14. Сначала отдельной строкой дай только результат, затем коротко объясни вычисление.",,Первая строка 518; затем краткое верное объяснение,Строгий порядок; русский,Преамбула до результата; служебный output,First-line exact match; arithmetic check; order validator,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,FALSE,2,PASS,evidence/gui_operator_runs.jsonl
