scenario_id,group_id,title,profile,surface,is_gui_e2e,priority,critical,repeat_count,repeat_policy,preconditions,steps,expected_result,validator,cleanup,status,evidence_path,operator_case_id
FUNC-0001,G03,Короткий прямой ответ,gemma4-turbo,GUI/Dialog,TRUE,P1,FALSE,2,ordinary_repeat,Owned turbo stack ready; clean campaign conversation,Submit OP-0001; wait for terminal UI state,Short complete Russian answer directly answers the question,Language check; semantic rubric twice; internal-marker scan,Delete campaign conversation after evidence,PASS,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0001
FUNC-0002,G03,Сложная тема простыми словами,gemma4-turbo,GUI/Dialog,TRUE,P1,FALSE,2,ordinary_repeat,Owned turbo stack ready,Submit OP-0002; capture stream and final,Plain-language explanation without unexplained jargon,Semantic rubric twice; readability review; marker scan,Delete campaign conversation after evidence,PASS,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0002
FUNC-0003,G03,Сравнение по заданным критериям,gemma4-turbo,GUI/Dialog,TRUE,P1,FALSE,2,ordinary_repeat,Owned turbo stack ready,Submit OP-0003; inspect all requested criteria,Comparison covers only requested criteria and gives a useful conclusion,Criterion coverage validator; semantic rubric twice,Delete campaign conversation after evidence,PASS,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0003
FUNC-0004,G03,Суммирование предоставленного текста,gemma4-turbo,GUI/Dialog,TRUE,P1,FALSE,2,ordinary_repeat,Owned turbo stack ready,Paste synthetic text from OP-0004; submit,Summary retains key facts and invents none,Fact checklist; semantic rubric twice; marker scan,Delete campaign conversation after evidence,PASS,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0004
FUNC-0005,G05,Задача без tools не запускает tools,gemma4-turbo,GUI/Dialog plus tool records,TRUE,P0,TRUE,3,critical_repeat,Owned turbo stack; baseline tool-run count recorded,Submit OP-0005; inspect response and campaign-time tool records,Correct answer with zero irrelevant tool calls,Before/after tool-run diff; response integrity scan,Delete conversation; retain read-only evidence,PASS,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0005
FUNC-0006,G03,Ровно одно предложение,gemma4-turbo,GUI/Dialog,TRUE,P1,FALSE,2,ordinary_repeat,Owned turbo stack ready,Submit OP-0006,Exactly one grammatical sentence and no preamble,Sentence-count validator; marker scan,Delete campaign conversation,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0006
FUNC-0007,G03,Ровно пять пунктов,gemma4-turbo,GUI/Dialog,TRUE,P1,FALSE,2,ordinary_repeat,Owned turbo stack ready,Submit OP-0007,Exactly five nonempty list items and no sixth item,Markdown/list-count validator,Delete campaign conversation,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0007
FUNC-0008,G03,Markdown table,gemma4-turbo,GUI/Dialog,TRUE,P1,FALSE,2,ordinary_repeat,Owned turbo stack ready,Submit OP-0008,One valid table with requested columns and values,Markdown table parser; cell checklist,Delete campaign conversation,PASS,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0008
FUNC-0009,G03,Обычный prose без JSON и служебных вставок,gemma4-turbo,GUI/Dialog,TRUE,P0,TRUE,3,critical_repeat,Owned turbo stack ready,Submit OP-0009; reconstruct rendered and transport final,"Natural prose only; no JSON envelope, tool structure, role marker or duplicate final",Known-marker scan; JSON-envelope detector; stream/final equality,Delete campaign conversation,PASS,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0009
FUNC-0010,G03,Валидный JSON по явному запросу,gemma4-turbo,GUI/Dialog,TRUE,P1,FALSE,2,ordinary_repeat,Owned turbo stack ready,Submit OP-0010; copy exact response text,Valid JSON matching requested keys; no Markdown fence or extra prose,JSON parser and exact-key schema validator,Delete campaign conversation,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0010
