operator_case_id,scenario_id,profile,repeat,accepted_status,pass_1_status,pass_2_status,pass_1_selected_record,pass_2_selected_record,pass_1_intent_fidelity,pass_2_intent_fidelity,intent_fidelity,pass_1_task_completion,pass_2_task_completion,task_completion,pass_1_constraint_adherence,pass_2_constraint_adherence,constraint_adherence,pass_1_truthfulness,pass_2_truthfulness,truthfulness,pass_1_response_integrity,pass_2_response_integrity,response_integrity,pass_1_state_consistency,pass_2_state_consistency,state_consistency,pass_1_recovery_quality,pass_2_recovery_quality,recovery_quality,pass_1_ux_clarity,pass_2_ux_clarity,ux_clarity,finding_ids,evidence_refs
OP-0001,FUNC-0001,gemma4-turbo,1,PASS,PASS,PASS,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,2,2,2,2,,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0001,FUNC-0001,gemma4-turbo,2,PASS,PASS,PASS,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,2,2,2,2,,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0002,FUNC-0002,gemma4-turbo,1,PASS,PASS,PASS,6,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,2,1,2,1,,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0002,FUNC-0002,gemma4-turbo,2,PASS,PASS,PASS,7,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,2,1,2,1,,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0003,FUNC-0003,gemma4-turbo,1,PASS,PASS,PASS,8,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,,2,2,,2,1,2,1,,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0003,FUNC-0003,gemma4-turbo,2,PASS,PASS,PASS,9,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,,2,2,,2,1,2,1,,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0004,FUNC-0004,gemma4-turbo,1,PASS,PASS,PASS,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,2,2,2,2,,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0004,FUNC-0004,gemma4-turbo,2,PASS,PASS,PASS,11,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,2,2,2,2,,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0005,FUNC-0005,gemma4-turbo,1,PASS,PASS,PASS,12,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,2,2,2,2,,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0005,FUNC-0005,gemma4-turbo,2,PASS,PASS,PASS,13,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,2,2,2,2,,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
