scenario_id,group_id,title,profile,surface,critical,operator_case_id,status,evidence_refs,finding_ids,notes
FUNC-0001,G03,Короткий прямой ответ,gemma4-turbo,GUI/Dialog,FALSE,OP-0001,PASS,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0002,G03,Сложная тема простыми словами,gemma4-turbo,GUI/Dialog,FALSE,OP-0002,PASS,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0003,G03,Сравнение по заданным критериям,gemma4-turbo,GUI/Dialog,FALSE,OP-0003,PASS,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0004,G03,Суммирование предоставленного текста,gemma4-turbo,GUI/Dialog,FALSE,OP-0004,PASS,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0005,G05,Задача без tools не запускает tools,gemma4-turbo,GUI/Dialog plus tool records,TRUE,OP-0005,PASS,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0006,G03,Ровно одно предложение,gemma4-turbo,GUI/Dialog,FALSE,OP-0006,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,FUNC-FIND-001,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0007,G03,Ровно пять пунктов,gemma4-turbo,GUI/Dialog,FALSE,OP-0007,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,FUNC-FIND-002,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0008,G03,Markdown table,gemma4-turbo,GUI/Dialog,FALSE,OP-0008,PASS,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0009,G03,Обычный prose без JSON и служебных вставок,gemma4-turbo,GUI/Dialog,TRUE,OP-0009,PASS,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0010,G03,Валидный JSON по явному запросу,gemma4-turbo,GUI/Dialog,FALSE,OP-0010,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,FUNC-FIND-002,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0011,G03,Сначала результат затем объяснение,gemma4-turbo,GUI/Dialog,FALSE,OP-0011,PASS,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0012,G03,Русский ответ на mixed-language source,gemma4-turbo,GUI/Dialog,FALSE,OP-0012,PASS,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0013,G06,Точный filename path и output type,gemma4-turbo,GUI/Dialog and generated artifact,TRUE,OP-0013,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,FUNC-FIND-003,Aggregated from all required repeats; any repeat failure dominates the scenario status.
