scenario_id,feature_ids,requirement_ids,domain,component,method,preconditions,state_before,stimulus,oracle,invariants,profile,network_state,resource_state,storage_state,concurrency,permissions,locale_encoding,phase,status,evidence_ids,finding_ids,notes
TEST-STATIC-001,,,repository-static,checkout,Python compileall,686424795712cb0a562750b6dade13de18c48792,clean checkout,exact argv in evidence metadata,documented command-specific oracle,no production changes; no live services/network,none,disabled except pinned dependency setup,cloud sandbox,synthetic/temp,as test defines,sandbox,UTF-8,A,PASS_HERMETIC,EVID-STATIC-001,,"Metadata JSON contains timestamp, cwd, duration, exit and stdout/stderr paths."
TEST-STATIC-002,,,repository-static,checkout,Ruff repository lint,686424795712cb0a562750b6dade13de18c48792,clean checkout,exact argv in evidence metadata,documented command-specific oracle,no production changes; no live services/network,none,disabled except pinned dependency setup,cloud sandbox,synthetic/temp,as test defines,sandbox,UTF-8,A,PASS_HERMETIC,EVID-STATIC-002,JARVIS-0020,"Metadata JSON contains timestamp, cwd, duration, exit and stdout/stderr paths."
TEST-STATIC-003,,,repository-static,checkout,Broad pytest excluding prohibited host-bridge modules,686424795712cb0a562750b6dade13de18c48792,clean checkout,exact argv in evidence metadata,documented command-specific oracle,no production changes; no live services/network,none,disabled except pinned dependency setup,cloud sandbox,synthetic/temp,as test defines,sandbox,UTF-8,A,BLOCKED_BY_ENV,EVID-STATIC-003,,"Metadata JSON contains timestamp, cwd, duration, exit and stdout/stderr paths."
TEST-STATIC-004,,,repository-static,checkout,Safe backend pytest subset,686424795712cb0a562750b6dade13de18c48792,clean checkout,exact argv in evidence metadata,documented command-specific oracle,no production changes; no live services/network,none,disabled except pinned dependency setup,cloud sandbox,synthetic/temp,as test defines,sandbox,UTF-8,A,PASS_HERMETIC,EVID-STATIC-004,JARVIS-0001;JARVIS-0005;JARVIS-0006;JARVIS-0007;JARVIS-0008;JARVIS-0009;JARVIS-0010;JARVIS-0011;JARVIS-0013;JARVIS-0019;JARVIS-0021;JARVIS-0024,"Metadata JSON contains timestamp, cwd, duration, exit and stdout/stderr paths."
TEST-STATIC-005,,,repository-static,checkout,Frontend npm setup with unwritable default cache,686424795712cb0a562750b6dade13de18c48792,clean checkout,exact argv in evidence metadata,documented command-specific oracle,no production changes; no live services/network,none,disabled except pinned dependency setup,cloud sandbox,synthetic/temp,as test defines,sandbox,UTF-8,A,BLOCKED_BY_ENV,EVID-STATIC-005,,"Metadata JSON contains timestamp, cwd, duration, exit and stdout/stderr paths."
TEST-STATIC-006,,,repository-static,checkout,Pinned frontend npm ci in disposable copy,686424795712cb0a562750b6dade13de18c48792,clean checkout,exact argv in evidence metadata,documented command-specific oracle,no production changes; no live services/network,none,disabled except pinned dependency setup,cloud sandbox,synthetic/temp,as test defines,sandbox,UTF-8,A,PASS_HERMETIC,EVID-STATIC-006,JARVIS-0020,"Metadata JSON contains timestamp, cwd, duration, exit and stdout/stderr paths."
TEST-STATIC-007,,,repository-static,checkout,Frontend TypeScript typecheck,686424795712cb0a562750b6dade13de18c48792,clean checkout,exact argv in evidence metadata,documented command-specific oracle,no production changes; no live services/network,none,disabled except pinned dependency setup,cloud sandbox,synthetic/temp,as test defines,sandbox,UTF-8,A,PASS_HERMETIC,EVID-STATIC-007,JARVIS-0001;JARVIS-0014;JARVIS-0015;JARVIS-0016;JARVIS-0025,"Metadata JSON contains timestamp, cwd, duration, exit and stdout/stderr paths."
TEST-STATIC-008,,,repository-static,checkout,Frontend production build,686424795712cb0a562750b6dade13de18c48792,clean checkout,exact argv in evidence metadata,documented command-specific oracle,no production changes; no live services/network,none,disabled except pinned dependency setup,cloud sandbox,synthetic/temp,as test defines,sandbox,UTF-8,A,PASS_HERMETIC,EVID-STATIC-008,JARVIS-0014;JARVIS-0015;JARVIS-0016;JARVIS-0020;JARVIS-0025,"Metadata JSON contains timestamp, cwd, duration, exit and stdout/stderr paths."
TEST-STATIC-009,,,repository-static,checkout,Tracked file inventory,686424795712cb0a562750b6dade13de18c48792,clean checkout,exact argv in evidence metadata,documented command-specific oracle,no production changes; no live services/network,none,disabled except pinned dependency setup,cloud sandbox,synthetic/temp,as test defines,sandbox,UTF-8,A,PASS_HERMETIC,EVID-STATIC-009,JARVIS-0002;JARVIS-0003,"Metadata JSON contains timestamp, cwd, duration, exit and stdout/stderr paths."
TEST-STATIC-010,,,repository-static,checkout,Initial static contract harness version,686424795712cb0a562750b6dade13de18c48792,clean checkout,exact argv in evidence metadata,documented command-specific oracle,no production changes; no live services/network,none,disabled except pinned dependency setup,cloud sandbox,synthetic/temp,as test defines,sandbox,UTF-8,A,INCONCLUSIVE,EVID-STATIC-010,,"Metadata JSON contains timestamp, cwd, duration, exit and stdout/stderr paths."
