path,classification,subsystem,size_bytes,line_count,public_entry_points,outgoing_dependencies,side_effect_categories,test_reference_count,indexed,review_status,phase_b_required
.editorconfig,config,repository,180,15,,,,0,true,subsystem-review,false
.env.example,config,repository,3053,72,,,process,0,true,subsystem-review,false
.gitattributes,config,repository,147,11,,,,0,true,subsystem-review,false
.github/workflows/ci.yml,config,quality-gates,1325,49,,,,0,true,subsystem-review,false
.gitignore,config,repository,313,35,,,persistence,0,true,subsystem-review,false
README.md,documentation,documentation,24026,277,,,network;persistence;process,2,true,subsystem-review,false
backend/.dockerignore,config,deployment,58,6,,,,0,true,subsystem-review,false
backend/Dockerfile,config,deployment,2378,57,,,network;persistence;process,2,true,subsystem-review,false
backend/chromium-seccomp.json,config,repository,12997,832,,,persistence,2,true,subsystem-review,false
backend/docker-entrypoint.sh,unknown,deployment,2067,87,,,process,2,true,subsystem-review,false
backend/requirements-dev.txt,config,repository,60,5,,,network,0,true,subsystem-review,false
backend/requirements-surfer.txt,config,repository,519,14,,,,1,true,subsystem-review,false
backend/requirements.txt,config,repository,213,12,,,network,4,true,subsystem-review,false
backend/src/jarvis_gpt/__init__.py,production,backend-core,90,6,,,,79,true,subsystem-review,false
backend/src/jarvis_gpt/agent.py,production,llm-agent,458582,11419,AgentContext;TaskKernelPlan;DirectAction;NativeAction;IntentDecision;AgentRuntime,.;.browser_cdp;.cognitive_memory;.config;.embeddings;.event_bus;.execution_protocol;.executive_runtime;.llm;.models;.operator_queue;.shop_registry;.storage;.tools;.verification;__future__;asyncio;base64;collections.abc;contextlib;dataclasses;datetime;hashlib;importlib.util,network;persistence;process,523,true,subsystem-review,true
