case_id,repeat,pass_1_status,pass_2_status,accepted_status
OP-0001,1,PASS,PASS,PASS
OP-0001,2,PASS,PASS,PASS
OP-0002,1,PASS,PASS,PASS
OP-0002,2,PASS,PASS,PASS
OP-0003,1,PASS,PASS,PASS
OP-0003,2,PASS,PASS,PASS
OP-0004,1,PASS,PASS,PASS
OP-0004,2,PASS,PASS,PASS
OP-0005,1,PASS,PASS,PASS
OP-0005,2,PASS,PASS,PASS
OP-0005,3,PASS,PASS,PASS
OP-0006,1,FAIL,FAIL,FAIL
OP-0006,2,FAIL,FAIL,FAIL
OP-0007,1,FAIL,FAIL,FAIL
OP-0007,2,FAIL,FAIL,FAIL
OP-0008,1,PASS,PASS,PASS
OP-0008,2,PASS,PASS,PASS
OP-0009,1,PASS,PASS,PASS
OP-0009,2,PASS,PASS,PASS
OP-0009,3,PASS,PASS,PASS
OP-0010,1,FAIL,FAIL,FAIL
OP-0010,2,FAIL,FAIL,FAIL
OP-0011,1,PASS,PASS,PASS
OP-0011,2,PASS,PASS,PASS
OP-0012,1,PASS,PASS,PASS
OP-0012,2,PASS,PASS,PASS
OP-0013,1,FAIL,FAIL,FAIL
OP-0013,2,FAIL,FAIL,FAIL
OP-0013,3,FAIL,FAIL,FAIL
OP-0014,1,FAIL,FAIL,FAIL
OP-0014,2,FAIL,FAIL,FAIL
OP-0015,1,PASS,PASS,PASS
OP-0015,2,PASS,PASS,PASS
OP-0016,1,FAIL,FAIL,FAIL
OP-0016,2,FAIL,FAIL,FAIL
OP-0017,1,PASS,PASS,PASS
OP-0017,2,PASS,PASS,PASS
OP-0017,3,PASS,PASS,PASS
OP-0018,1,PASS,PASS,PASS
OP-0018,2,PASS,PASS,PASS
OP-0019,1,PASS,FAIL,INCONCLUSIVE
OP-0019,2,PASS,FAIL,INCONCLUSIVE
OP-0020,1,PASS,PASS,PASS
OP-0020,2,PASS,PASS,PASS
OP-0020,3,PASS,PASS,PASS
OP-0021,1,PASS,PASS,PASS
OP-0021,2,PASS,PASS,PASS
OP-0021,3,PASS,PASS,PASS
OP-0022,1,PASS,PASS,PASS
OP-0022,2,PASS,PASS,PASS
OP-0023,1,FAIL,FAIL,FAIL
OP-0023,2,FAIL,FAIL,FAIL
OP-0024,1,PASS,PASS,PASS
OP-0024,2,FAIL,FAIL,FAIL
OP-0025,1,FAIL,FAIL,FAIL
OP-0025,2,FAIL,FAIL,FAIL
OP-0025,3,FAIL,FAIL,FAIL
OP-0026,1,FAIL,FAIL,FAIL
OP-0026,2,FAIL,FAIL,FAIL
OP-0027,1,PASS,PASS,PASS
OP-0027,2,PASS,PASS,PASS
OP-0028,1,FAIL,FAIL,FAIL
OP-0028,2,FAIL,FAIL,FAIL
OP-0029,1,PASS,PASS,PASS
OP-0029,2,FAIL,FAIL,FAIL
OP-0029,3,FAIL,FAIL,FAIL
OP-0030,1,PASS,PASS,PASS
OP-0030,2,FAIL,FAIL,FAIL
OP-0030,3,FAIL,FAIL,FAIL
OP-0031,1,FAIL,FAIL,FAIL
OP-0031,2,FAIL,FAIL,FAIL
OP-0032,1,FAIL,FAIL,FAIL
OP-0032,2,FAIL,FAIL,FAIL
OP-0033,1,BLOCKED_BY_ENV,FAIL,INCONCLUSIVE
OP-0033,2,BLOCKED_BY_ENV,FAIL,INCONCLUSIVE
OP-0033,3,FAIL,FAIL,FAIL
OP-0034,1,PASS,PASS,PASS
OP-0034,2,FAIL,FAIL,FAIL
OP-0034,3,FAIL,FAIL,FAIL
OP-0035,1,PASS,PASS,PASS
OP-0035,2,PASS,PASS,PASS
OP-0035,3,FAIL,INCONCLUSIVE,INCONCLUSIVE
OP-0036,1,FAIL,FAIL,FAIL
OP-0036,2,FAIL,FAIL,FAIL
OP-0037,1,FAIL,FAIL,FAIL
OP-0037,2,BLOCKED_BY_ENV,FAIL,INCONCLUSIVE
OP-0037,3,BLOCKED_BY_ENV,FAIL,INCONCLUSIVE
OP-0038,1,FAIL,FAIL,FAIL
OP-0038,2,FAIL,FAIL,FAIL
OP-0038,3,FAIL,FAIL,FAIL
OP-0039,1,FAIL,FAIL,FAIL
OP-0039,2,FAIL,FAIL,FAIL
OP-0039,3,FAIL,FAIL,FAIL
OP-0040,1,FAIL,FAIL,FAIL
OP-0040,2,INCONCLUSIVE,PASS,INCONCLUSIVE
OP-0040,3,INCONCLUSIVE,PASS,INCONCLUSIVE
OP-0041,1,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE
OP-0041,2,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE
OP-0042,1,PASS,PASS,PASS
OP-0042,2,PASS,PASS,PASS
OP-0042,3,PASS,PASS,PASS
OP-0043,1,FAIL,BLOCKED_BY_ENV,INCONCLUSIVE
OP-0043,2,FAIL,BLOCKED_BY_ENV,INCONCLUSIVE
OP-0043,3,FAIL,BLOCKED_BY_ENV,INCONCLUSIVE
OP-0044,1,FAIL,FAIL,FAIL
OP-0044,2,FAIL,FAIL,FAIL
OP-0044,3,FAIL,FAIL,FAIL
