operator_case_id,repeat,profile,selected_record_line,selected_record_state,prior_attempt_note,accepted_status,intent_fidelity,task_completion,constraint_adherence,truthfulness,response_integrity,state_consistency,recovery_quality,ux_clarity,semantic_summary,deterministic_cross_check,evidence_refs
OP-0001,1,gemma4-turbo,4,complete,,PASS,2,2,2,2,2,2,2,2,Exact concise Russian answer names nitrogen.,,OPERATOR_TASK_CATALOG.csv:OP-0001; gui_operator_runs.jsonl:L4
OP-0001,2,gemma4-turbo,5,complete,,PASS,2,2,2,2,2,2,2,2,Exact concise Russian answer names nitrogen.,,OPERATOR_TASK_CATALOG.csv:OP-0001; gui_operator_runs.jsonl:L5
OP-0002,1,gemma4-turbo,6,complete,,PASS,2,2,2,2,2,2,2,1,Clear and substantially accurate child-level explanation; verbose with minor grammar defects.,,OPERATOR_TASK_CATALOG.csv:OP-0002; gui_operator_runs.jsonl:L6
OP-0002,2,gemma4-turbo,7,complete,,PASS,2,2,2,2,2,2,2,1,Clear and substantially accurate child-level explanation; verbose with minor grammar defects.,,OPERATOR_TASK_CATALOG.csv:OP-0002; gui_operator_runs.jsonl:L7
OP-0003,1,gemma4-turbo,8,complete,,PASS,2,2,2,1,2,2,2,1,Covers only the three requested criteria and selects SQLite; minor SQLite oversimplification and wording defects.,,OPERATOR_TASK_CATALOG.csv:OP-0003; gui_operator_runs.jsonl:L8
OP-0003,2,gemma4-turbo,9,complete,,PASS,2,2,2,1,2,2,2,1,Covers only the three requested criteria and selects SQLite; minor SQLite oversimplification and wording defects.,,OPERATOR_TASK_CATALOG.csv:OP-0003; gui_operator_runs.jsonl:L9
OP-0004,1,gemma4-turbo,10,complete,,PASS,2,2,2,2,2,2,2,2,"Preserves date, amount, approval decision, and two-signature condition within one sentence.",,OPERATOR_TASK_CATALOG.csv:OP-0004; gui_operator_runs.jsonl:L10
OP-0004,2,gemma4-turbo,11,complete,,PASS,2,2,2,2,2,2,2,2,"Preserves date, amount, approval decision, and two-signature condition within one sentence.",,OPERATOR_TASK_CATALOG.csv:OP-0004; gui_operator_runs.jsonl:L11
OP-0005,1,gemma4-turbo,12,complete,,PASS,2,2,2,2,2,2,2,2,Returns two valid even numbers and one concise explanation with no visible tool envelope.,,OPERATOR_TASK_CATALOG.csv:OP-0005; gui_operator_runs.jsonl:L12
OP-0005,2,gemma4-turbo,13,complete,,PASS,2,2,2,2,2,2,2,2,Returns two valid even numbers and one concise explanation with no visible tool envelope.,,OPERATOR_TASK_CATALOG.csv:OP-0005; gui_operator_runs.jsonl:L13
OP-0005,3,gemma4-turbo,14,complete,,PASS,2,2,2,2,2,2,2,2,Returns two valid even numbers and one concise explanation with no visible tool envelope.,,OPERATOR_TASK_CATALOG.csv:OP-0005; gui_operator_runs.jsonl:L14
OP-0006,1,gemma4-turbo,15,complete,,FAIL,0,0,0,0,1,2,0,0,DNS intent is misrouted to a DNS retail-store lookup and the one-sentence constraint is broken.,,OPERATOR_TASK_CATALOG.csv:OP-0006; gui_operator_runs.jsonl:L15
OP-0006,2,gemma4-turbo,16,complete,,FAIL,0,0,0,0,1,2,0,0,DNS intent is misrouted to a DNS retail-store lookup and the one-sentence constraint is broken.,,OPERATOR_TASK_CATALOG.csv:OP-0006; gui_operator_runs.jsonl:L16
OP-0007,1,gemma4-turbo,17,complete,,FAIL,2,2,0,2,1,2,2,0,"Contains five useful checks, but adds an introduction and emits plain paragraphs rather than five Markdown bullets.",,OPERATOR_TASK_CATALOG.csv:OP-0007; gui_operator_runs.jsonl:L17
OP-0007,2,gemma4-turbo,18,complete,,FAIL,2,2,0,2,1,2,2,0,"Contains five useful checks, but adds an introduction and emits plain paragraphs rather than five Markdown bullets.",,OPERATOR_TASK_CATALOG.csv:OP-0007; gui_operator_runs.jsonl:L18
OP-0008,1,gemma4-turbo,19,complete,,PASS,2,2,2,2,2,2,2,2,Exact two-column Markdown table with the three requested data rows and no prose.,,OPERATOR_TASK_CATALOG.csv:OP-0008; gui_operator_runs.jsonl:L19
OP-0008,2,gemma4-turbo,20,complete,,PASS,2,2,2,2,2,2,2,2,Exact two-column Markdown table with the three requested data rows and no prose.,,OPERATOR_TASK_CATALOG.csv:OP-0008; gui_operator_runs.jsonl:L20
OP-0009,1,gemma4-turbo,21,complete,,PASS,2,2,2,2,2,2,2,2,"Grounded Russian prose with no JSON, table, list, role marker, or internal envelope.",,OPERATOR_TASK_CATALOG.csv:OP-0009; gui_operator_runs.jsonl:L21
OP-0009,2,gemma4-turbo,22,complete,,PASS,2,2,2,2,2,2,2,2,"Grounded Russian prose with no JSON, table, list, role marker, or internal envelope.",,OPERATOR_TASK_CATALOG.csv:OP-0009; gui_operator_runs.jsonl:L22
OP-0009,3,gemma4-turbo,23,complete,,PASS,2,2,2,2,2,2,2,2,"Grounded Russian prose with no JSON, table, list, role marker, or internal envelope.",,OPERATOR_TASK_CATALOG.csv:OP-0009; gui_operator_runs.jsonl:L23
OP-0010,1,gemma4-turbo,24,complete,,FAIL,2,1,0,2,0,2,2,0,"Object values are correct, but the literal JSON prefix makes the response invalid JSON and violates JSON-only output.",,OPERATOR_TASK_CATALOG.csv:OP-0010; gui_operator_runs.jsonl:L24
OP-0010,2,gemma4-turbo,25,complete,,FAIL,2,1,0,2,0,2,2,0,"Object values are correct, but the literal JSON prefix makes the response invalid JSON and violates JSON-only output.",,OPERATOR_TASK_CATALOG.csv:OP-0010; gui_operator_runs.jsonl:L25
OP-0011,1,gemma4-turbo,26,complete,,PASS,2,2,2,2,2,2,2,2,First line is exactly 518 and the following arithmetic explanation is correct and concise.,,OPERATOR_TASK_CATALOG.csv:OP-0011; gui_operator_runs.jsonl:L26
OP-0011,2,gemma4-turbo,27,complete,,PASS,2,2,2,2,2,2,2,2,First line is exactly 518 and the following arithmetic explanation is correct and concise.,,OPERATOR_TASK_CATALOG.csv:OP-0011; gui_operator_runs.jsonl:L27
OP-0012,1,gemma4-turbo,28,complete,,PASS,2,2,2,2,2,2,2,2,"Fully Russian explanation preserves two retries, error-state persistence, and manual restart wait.",,OPERATOR_TASK_CATALOG.csv:OP-0012; gui_operator_runs.jsonl:L28
OP-0012,2,gemma4-turbo,29,complete,,PASS,2,2,2,2,2,2,2,2,"Fully Russian explanation preserves two retries, error-state persistence, and manual restart wait.",,OPERATOR_TASK_CATALOG.csv:OP-0012; gui_operator_runs.jsonl:L29
OP-0013,1,gemma4-turbo,78,complete,,FAIL,1,0,0,2,1,2,1,1,Self-correction admits the artifact was written outside the exact requested subdirectory.,Requested functional-20260713 path is absent; OP-0013-1.md exists only in document-outputs.,OPERATOR_TASK_CATALOG.csv:OP-0013; gui_operator_runs.jsonl:L78
OP-0013,2,gemma4-turbo,79,complete,,FAIL,1,0,0,1,1,2,1,1,Artifact is written to the wrong directory and the response admits content was not verified.,Requested functional-20260713 path is absent; OP-0013-2.md exists only in document-outputs.,OPERATOR_TASK_CATALOG.csv:OP-0013; gui_operator_runs.jsonl:L79
OP-0013,3,gemma4-turbo,80,complete,,FAIL,1,0,0,0,0,2,0,0,Artifact is written to the wrong directory and the self-correction also misstates the actual filename.,Requested functional-20260713 path is absent; actual file is document-outputs/OP-0013-3.md.,OPERATOR_TASK_CATALOG.csv:OP-0013; gui_operator_runs.jsonl:L80
OP-0014,1,gemma4-turbo,34,complete,,FAIL,1,0,0,2,1,0,0,1,First turn proposes multiple names; follow-up invents unrelated alternatives instead of modifying the prior referent.,,OPERATOR_TASK_CATALOG.csv:OP-0014; gui_operator_runs.jsonl:L34
OP-0014,2,gemma4-turbo,41,complete,Earlier record L35 ended after turn 1 with error=Error: disabled; superseded by attempt 2.,FAIL,1,0,0,2,1,0,0,1,Latest complete attempt still proposes multiple names and loses the referent in the follow-up.,,OPERATOR_TASK_CATALOG.csv:OP-0014; gui_operator_runs.jsonl:L41
OP-0015,1,gemma4-turbo,42,complete,Earlier record L36 ended after turn 1 with error=Error: disabled; superseded by attempt 2.,PASS,2,2,1,2,2,2,2,2,Second option is unambiguous and expanded in exactly two sentences; initial options are not visibly numbered.,,OPERATOR_TASK_CATALOG.csv:OP-0015; gui_operator_runs.jsonl:L42
OP-0015,2,gemma4-turbo,43,complete,Earlier record L37 ended after turn 1 with error=Error: disabled; superseded by attempt 2.,PASS,2,2,1,2,2,2,2,2,Second option is unambiguous and expanded in exactly two sentences; initial options are not visibly numbered.,,OPERATOR_TASK_CATALOG.csv:OP-0015; gui_operator_runs.jsonl:L43
OP-0016,1,gemma4-turbo,76,complete,,FAIL,1,1,2,1,1,0,1,1,"First turn says the indexed file cannot be found, then returns the correct owner without explaining any retrieval recovery.",Indexed campaign-recall source exists and owner is functional-campaign.,OPERATOR_TASK_CATALOG.csv:OP-0016; gui_operator_runs.jsonl:L76
OP-0016,2,gemma4-turbo,77,complete,,FAIL,1,1,2,1,1,0,1,1,"First turn says the indexed file cannot be found, then returns the correct owner without explaining any retrieval recovery.",Indexed campaign-recall source exists and owner is functional-campaign.,OPERATOR_TASK_CATALOG.csv:OP-0016; gui_operator_runs.jsonl:L77
OP-0017,1,gemma4-turbo,38,complete,,PASS,2,2,2,2,2,2,2,2,"Follow-up returns exactly four short Russian lines, each at most six words, without emoji.",,OPERATOR_TASK_CATALOG.csv:OP-0017; gui_operator_runs.jsonl:L38
OP-0017,2,gemma4-turbo,44,complete,Earlier record L39 ended after turn 1 with error=Error: disabled; superseded by attempt 2.,PASS,2,2,2,2,2,2,2,2,Latest complete attempt returns exactly four short Russian lines within all retained constraints.,,OPERATOR_TASK_CATALOG.csv:OP-0017; gui_operator_runs.jsonl:L44
OP-0017,3,gemma4-turbo,40,complete,,PASS,2,2,2,2,2,2,2,2,"Follow-up returns exactly four short Russian lines, each at most six words, without emoji.",,OPERATOR_TASK_CATALOG.csv:OP-0017; gui_operator_runs.jsonl:L40
OP-0018,1,gemma4-turbo,45,complete,,PASS,2,2,2,2,2,2,2,2,Changes only 44 to 43 while preserving the exact requested format.,,OPERATOR_TASK_CATALOG.csv:OP-0018; gui_operator_runs.jsonl:L45
OP-0018,2,gemma4-turbo,46,complete,,PASS,2,2,2,2,2,2,2,2,Changes only 44 to 43 while preserving the exact requested format.,,OPERATOR_TASK_CATALOG.csv:OP-0018; gui_operator_runs.jsonl:L46
OP-0019,1,gemma4-turbo,47,complete,,PASS,2,2,1,2,1,2,2,1,Final rolling-update plan returns to the original goal and includes every confirmed constraint; it is longer than requested and has formatting defects.,,OPERATOR_TASK_CATALOG.csv:OP-0019; gui_operator_runs.jsonl:L47
OP-0019,2,gemma4-turbo,48,complete,,PASS,2,2,1,2,1,2,2,1,Final rolling-update plan returns to the original goal and includes every confirmed constraint; it is longer than requested and has formatting defects.,,OPERATOR_TASK_CATALOG.csv:OP-0019; gui_operator_runs.jsonl:L48
OP-0020,1,gemma4-turbo,49,complete,,PASS,2,2,2,2,2,2,2,2,Parallel conversation markers and response formats remain isolated with no cross-session leakage.,,OPERATOR_TASK_CATALOG.csv:OP-0020; gui_operator_runs.jsonl:L49
OP-0020,2,gemma4-turbo,50,complete,,PASS,2,2,2,2,2,2,2,2,Parallel conversation markers and response formats remain isolated with no cross-session leakage.,,OPERATOR_TASK_CATALOG.csv:OP-0020; gui_operator_runs.jsonl:L50
OP-0020,3,gemma4-turbo,51,complete,,PASS,2,2,2,2,2,2,2,2,Parallel conversation markers and response formats remain isolated with no cross-session leakage.,,OPERATOR_TASK_CATALOG.csv:OP-0020; gui_operator_runs.jsonl:L51
OP-0021,1,gemma4-turbo,52,complete,,PASS,2,2,2,2,2,2,2,2,New-conversation answer is seven and contains no TEMP marker or inherited context.,,OPERATOR_TASK_CATALOG.csv:OP-0021; gui_operator_runs.jsonl:L52
OP-0021,2,gemma4-turbo,53,complete,,PASS,2,2,2,2,2,2,2,2,New-conversation answer is seven and contains no TEMP marker or inherited context.,,OPERATOR_TASK_CATALOG.csv:OP-0021; gui_operator_runs.jsonl:L53
OP-0021,3,gemma4-turbo,54,complete,,PASS,2,2,2,2,2,2,2,2,New-conversation answer is seven and contains no TEMP marker or inherited context.,,OPERATOR_TASK_CATALOG.csv:OP-0021; gui_operator_runs.jsonl:L54
OP-0022,1,gemma4-turbo,30,complete,,PASS,2,2,2,2,2,2,2,2,Output is exactly 150 with no question or prose.,,OPERATOR_TASK_CATALOG.csv:OP-0022; gui_operator_runs.jsonl:L30
OP-0022,2,gemma4-turbo,31,complete,,PASS,2,2,2,2,2,2,2,2,Output is exactly 150 with no question or prose.,,OPERATOR_TASK_CATALOG.csv:OP-0022; gui_operator_runs.jsonl:L31
OP-0023,1,gemma4-turbo,55,complete,,FAIL,1,0,0,2,1,1,0,0,Creates plans instead of asking the single combined question and never creates the requested artifact.,,OPERATOR_TASK_CATALOG.csv:OP-0023; gui_operator_runs.jsonl:L55
OP-0023,2,gemma4-turbo,56,complete,,FAIL,1,0,0,2,1,1,0,0,Creates plans instead of asking the single combined question and never creates the requested artifact.,,OPERATOR_TASK_CATALOG.csv:OP-0023; gui_operator_runs.jsonl:L56
OP-0024,1,gemma4-turbo,32,complete,,PASS,2,2,1,2,1,2,2,1,Explicitly chooses UTF-8 and provides a useful checklist; output is overlong and the last two items are malformed.,,OPERATOR_TASK_CATALOG.csv:OP-0024; gui_operator_runs.jsonl:L32
OP-0024,2,gemma4-turbo,33,complete,,FAIL,2,2,1,2,0,2,2,0,"Checklist and UTF-8 assumption are present, but an English internal continuation note leaks into the final response.",,OPERATOR_TASK_CATALOG.csv:OP-0024; gui_operator_runs.jsonl:L33
OP-0025,1,gemma4-turbo,62,complete,Earlier complete L57 incorrectly reported the indexed file missing; latest L62 selected.,FAIL,0,0,0,0,0,1,0,0,Latest attempt exposes a raw inspect call and targets the wrong file id.,All three synthetic summary files were indexed; selected file id belongs to synthetic-summary-3.txt.,OPERATOR_TASK_CATALOG.csv:OP-0025; gui_operator_runs.jsonl:L62
OP-0025,2,gemma4-turbo,63,complete,Earlier complete L58 gave a grounded summary; latest L63 regressed to a raw call.,FAIL,1,0,0,1,0,1,0,0,Latest attempt exposes only a raw inspect call and provides no three-point summary.,synthetic-summary-2.txt was indexed under the referenced file id.,OPERATOR_TASK_CATALOG.csv:OP-0025; gui_operator_runs.jsonl:L63
OP-0025,3,gemma4-turbo,64,complete,Earlier complete L59 exposed thought/tool syntax; latest L64 selected.,FAIL,1,0,0,1,0,1,0,0,Latest attempt exposes only a raw read call and provides no three-point summary.,synthetic-summary-3.txt was indexed under the referenced file id.,OPERATOR_TASK_CATALOG.csv:OP-0025; gui_operator_runs.jsonl:L64
OP-0026,1,gemma4-turbo,65,complete,Earlier complete L60 repeated the same false not-found result; latest L65 selected.,FAIL,1,0,0,0,2,1,0,1,Returns a not-found explanation instead of the exact marker despite the indexed source.,Indexed exact value is FACT-1-7F3A.,OPERATOR_TASK_CATALOG.csv:OP-0026; gui_operator_runs.jsonl:L65
OP-0026,2,gemma4-turbo,66,complete,Earlier complete L61 repeated the same false not-found result; latest L66 selected.,FAIL,1,0,0,0,2,1,0,1,Returns a not-found explanation instead of the exact marker despite the indexed source.,Indexed exact value is FACT-2-7F3A.,OPERATOR_TASK_CATALOG.csv:OP-0026; gui_operator_runs.jsonl:L66
OP-0027,1,gemma4-turbo,67,complete,,PASS,2,2,2,2,2,2,2,2,"Table attributes owner, version, and enabled correctly to both files and gives an accurate conclusion.",,OPERATOR_TASK_CATALOG.csv:OP-0027; gui_operator_runs.jsonl:L67
OP-0027,2,gemma4-turbo,68,complete,,PASS,2,2,2,2,2,2,2,2,"Table attributes owner, version, and enabled correctly to both files and gives an accurate conclusion.",,OPERATOR_TASK_CATALOG.csv:OP-0027; gui_operator_runs.jsonl:L68
OP-0028,1,gemma4-turbo,69,complete,,FAIL,1,0,0,1,0,1,0,0,Emits only a raw documents.inspect call; no heading tree or Markdown table is returned.,Both structured Markdown sources were indexed.,OPERATOR_TASK_CATALOG.csv:OP-0028; gui_operator_runs.jsonl:L69
OP-0028,2,gemma4-turbo,70,complete,,FAIL,1,0,0,1,0,1,0,0,Emits only a raw documents.inspect call; no heading tree or Markdown table is returned.,Both structured Markdown sources were indexed.,OPERATOR_TASK_CATALOG.csv:OP-0028; gui_operator_runs.jsonl:L70
OP-0029,1,gemma4-turbo,81,complete,,PASS,2,2,2,2,2,2,2,2,Returns the exact path and the unique Markdown artifact exists with the requested heading and marker.,functional-report-1.md exists and contains heading Итог and marker OP-0029-1.,OPERATOR_TASK_CATALOG.csv:OP-0029; gui_operator_runs.jsonl:L81
OP-0029,2,gemma4-turbo,82,complete,,FAIL,1,0,0,1,0,1,0,0,"Emits only a raw generation call, returns no path, and leaves no requested output artifact.",No functional-report-2.md exists in the new output root.,OPERATOR_TASK_CATALOG.csv:OP-0029; gui_operator_runs.jsonl:L82
OP-0029,3,gemma4-turbo,83,complete,,FAIL,1,0,0,1,0,1,0,0,"Emits only a raw generation call, returns no path, and leaves no requested output artifact.",No functional-report-3.md exists in the new output root.,OPERATOR_TASK_CATALOG.csv:OP-0029; gui_operator_runs.jsonl:L83
OP-0030,1,gemma4-turbo,84,complete,,PASS,2,2,2,2,2,2,2,2,Returns both real paths; original hash is unchanged and the copy contains exactly one STATUS_NEW replacement.,Original SHA-256 matches the fixture; source-copy-1_STATUS_NEW.docx contains one STATUS_NEW and no STATUS_OLD.,OPERATOR_TASK_CATALOG.csv:OP-0030; gui_operator_runs.jsonl:L84
OP-0030,2,gemma4-turbo,85,complete,,FAIL,1,0,0,1,0,1,0,0,"Emits only a raw replacement call, returns neither path, and creates no output copy.",Original remains unchanged; source-copy-2_STATUS_NEW.docx is absent.,OPERATOR_TASK_CATALOG.csv:OP-0030; gui_operator_runs.jsonl:L85
OP-0030,3,gemma4-turbo,86,complete,,FAIL,1,0,0,1,0,1,0,0,"Emits only a raw replacement call, returns neither path, and creates no output copy.",Original remains unchanged; source-copy-3_STATUS_NEW.docx is absent.,OPERATOR_TASK_CATALOG.csv:OP-0030; gui_operator_runs.jsonl:L86
OP-0031,1,gemma4-turbo,87,complete,,FAIL,2,1,0,0,1,2,0,1,"Claimed DOCX exists and opens, but Markdown syntax was copied as plain text rather than preserving a real heading and table.",Generated DOCX has zero w:tbl elements and no Heading style; source remains unchanged.,OPERATOR_TASK_CATALOG.csv:OP-0031; gui_operator_runs.jsonl:L87
OP-0031,2,gemma4-turbo,88,complete,,FAIL,2,1,0,0,1,2,0,1,"Claimed DOCX exists and opens, but Markdown syntax was copied as plain text rather than preserving a real heading and table.",Generated DOCX has zero w:tbl elements and no Heading style; source remains unchanged.,OPERATOR_TASK_CATALOG.csv:OP-0031; gui_operator_runs.jsonl:L88
OP-0032,1,gemma4-turbo,71,complete,,FAIL,1,0,1,0,2,1,1,1,"Reports the persisted indexed file missing and suggests re-upload, so no retention code is returned.",Both campaign-recall files were indexed in the isolated namespace.,OPERATOR_TASK_CATALOG.csv:OP-0032; gui_operator_runs.jsonl:L71
