blocker_id,status,affected_paths,fix_commit,regression_tests,validation_commands,acceptance_result,residual_risk
B01,PASS,"qa/_trusted_jarvis_cli.py;qa/runner.py;qa/tests/test_assurance_core.py",e9a316de16f6c7d4ea1f595417846d30b2041e33,"test_cli_executor_is_exact_allowlist_and_shell_false;test_cli_executor_ignores_hostile_process_and_import_environment;test_trusted_launcher_drops_bootstrap_import_hijack","pytest qa/tests/test_assurance_core.py -q;ruff check qa",Trusted absolute launcher uses an allowlisted environment and shell=false,Independent foundation re-review required
B02,PASS,"qa/models.py;qa/safe_paths.py;qa/review/reviewer.py;qa/review/schemas.py",e9a316de16f6c7d4ea1f595417846d30b2041e33,"test_review_packet_rejects_unsafe_path_derived_identifiers;test_unsafe_evidence_id_cannot_create_packet_outside_output_root;test_review_writer_rejects_nested_reparse_ancestor_before_creation","pytest qa/tests/test_assurance_core.py qa/tests/test_review_and_cli.py -q",Identifiers and generated outputs remain canonical contained reparse-safe and exclusive,Independent foundation re-review required
B03,PASS,"qa/evidence.py;qa/replay.py;qa/trusted_anchors.py;qa/schemas/manifest.schema.json;qa/schemas/replay.schema.json",ddf282aee94b6af27aeab2e0fc117303ba1a203a,"test_evidence_manifest_and_replay_bind_actual_raw_bytes;test_paired_evidence_and_manifest_substitution_fails_trusted_anchor;test_forged_integrity_and_serialized_replay_cannot_create_packet","pytest qa/tests/test_assurance_core.py qa/tests/test_review_and_cli.py -q",Evidence manifest replay and packet creation require retained raw-byte anchors and fresh verification,Independent foundation re-review required
B04,PASS,"qa/scenario_loader.py;qa/schema_validation.py;qa/schemas/scenario.schema.json;qa/schemas/evidence.schema.json",e9a316de16f6c7d4ea1f595417846d30b2041e33,"test_scenario_contract_rejects_unknown_fields_and_type_coercion;test_strict_json_schema_rejects_malformed_contracts_and_nested_unknowns;test_scenario_loader_rejects_nonfinite_json","pytest qa/tests/test_assurance_core.py -q",Runtime and JSON schemas reject unknown malformed coerced and nonfinite input,Independent foundation re-review required
B05,PASS,"qa/output.py;qa/redaction.py;qa/runner.py;qa/review/reviewer.py;qa/upstream/validator.py",ddf282aee94b6af27aeab2e0fc117303ba1a203a,"test_output_boundary_fails_before_creation_for_unresolved_canary_key;test_all_generated_outputs_share_redaction_boundary;test_offline_cli_redacts_credential_like_diagnostics","pytest qa/tests -q",Every generated output shares recursive redaction bounds serialization and post-scan checks,Independent foundation re-review required
B06,PASS,"qa/safe_paths.py;qa/validators/artifacts.py;qa/tests/test_assurance_core.py",e9a316de16f6c7d4ea1f595417846d30b2041e33,"test_artifact_validator_enforces_size_regular_file_and_independent_source;test_bounded_digest_rejects_open_handle_escape_before_read;test_bounded_digest_fails_closed_without_open_handle_identity","pytest qa/tests/test_assurance_core.py -q",Artifact reads are bounded descriptor-verified contained and fail closed on unsafe types or races,Independent foundation re-review required
B07,PASS,"qa/review/independence.py;qa/review/schemas.py;qa/review/adjudicator.py;qa/schemas/review.schema.json;qa/schemas/adjudication.schema.json",593f5805de7a2c71a85fa282a360876532cacf68,"test_duplicate_context_or_run_nonce_cannot_authorize_pass;test_substantive_review_rejects_invalid_or_insufficient_citations;test_recomputed_semantic_review_fails_retained_review_anchors","pytest qa/tests/test_review_and_cli.py -q",Review independence factual contexts citations and positional anchors are recomputed and verifiable,Independent foundation re-review required
B08,PASS,"qa/upstream/validator.py;docs/upstream/PROVENANCE_SCHEMA.json;qa/tests/test_upstream.py",7aa54c9097dacfa01909d0f5a43c745f27e43a1e,"test_imported_source_must_map_to_exact_reviewed_manifest;test_reviewed_source_bytes_are_rehashed;test_imported_destination_bytes_are_independently_rehashed","pytest qa/tests/test_upstream.py -q",Every imported destination is independently hashed and mapped to an exact reviewed source,Independent foundation re-review required
B09,PASS,"qa/upstream/validator.py;docs/upstream/CANDIDATE_SCHEMA.json;docs/upstream/PROVENANCE_SCHEMA.json",7aa54c9097dacfa01909d0f5a43c745f27e43a1e,"test_license_snapshot_digest_is_bound_to_verified_evidence;test_license_snapshot_tamper_or_absence_cannot_pass;test_permissive_identifier_does_not_waive_notice_or_human_review","pytest qa/tests/test_upstream.py -q",License identity notice and snapshot bytes are bound to verified evidence,Independent foundation re-review required
B10,PASS,"qa/upstream/validator.py;qa/safe_paths.py;qa/tests/test_upstream.py",7aa54c9097dacfa01909d0f5a43c745f27e43a1e,"test_allowed_evidence_prefix_reparse_is_rejected;test_source_and_destination_reparse_roots_fail_closed;test_source_and_destination_escapes_are_rejected_independently","pytest qa/tests/test_upstream.py -q",Evidence source and destination roots enforce resolved containment and reparse rejection,Independent foundation re-review required
