operator_case_id,repeat,profile,selected_record_line,selected_record_state,prior_attempt_note,accepted_status,intent_fidelity,task_completion,constraint_adherence,truthfulness,response_integrity,state_consistency,recovery_quality,ux_clarity,concise_rationale,blocker_evidence,evidence_refs
OP-0045,1,gemma4-mono-perf,121,complete,Earlier L120 was an empty final=false attempt lasting 309376 ms; attempt 2 is authoritative.,BLOCKED_BY_ENV,1,0,0,2,0,2,1,1,Latest complete attempt gives a truthful router-failure fallback instead of the requested density explanation.,"Direct probes returned HTTP 200 but only repeated ""cyclic"" tokens with finish_reason=length; GUI requests either hit a corroborated 400 fallback or expired.",OPERATOR_TASK_CATALOG.csv:OP-0045; gui_operator_runs.jsonl:L121; mono-perf-direct-model-probes.json
OP-0045,2,gemma4-mono-perf,122,complete,,BLOCKED_BY_ENV,1,0,0,2,0,2,1,1,Complete attempt gives a truthful router-failure fallback instead of the requested density explanation.,"Direct probes returned HTTP 200 but only repeated ""cyclic"" tokens with finish_reason=length; GUI requests either hit a corroborated 400 fallback or expired.",OPERATOR_TASK_CATALOG.csv:OP-0045; gui_operator_runs.jsonl:L122; mono-perf-direct-model-probes.json
OP-0046,1,gemma4-mono-perf,123,incomplete_timeout,,BLOCKED_BY_ENV,1,0,1,1,1,1,0,0,No assistant content was captured before the explicit 15-second GUI timeout.,"Direct probes returned HTTP 200 but only repeated ""cyclic"" tokens with finish_reason=length; GUI requests either hit a corroborated 400 fallback or expired.",OPERATOR_TASK_CATALOG.csv:OP-0046; gui_operator_runs.jsonl:L123; mono-perf-direct-model-probes.json
OP-0046,2,gemma4-mono-perf,124,incomplete_timeout,,BLOCKED_BY_ENV,1,0,1,1,1,1,0,0,No assistant content was captured before the explicit 15-second GUI timeout.,"Direct probes returned HTTP 200 but only repeated ""cyclic"" tokens with finish_reason=length; GUI requests either hit a corroborated 400 fallback or expired.",OPERATOR_TASK_CATALOG.csv:OP-0046; gui_operator_runs.jsonl:L124; mono-perf-direct-model-probes.json
OP-0047,1,gemma4-mono-perf,143,incomplete_empty,,BLOCKED_BY_ENV,1,0,1,1,1,1,0,0,"Both turns are empty and final=false, so option preservation and constraints are unobservable.","Direct probes returned HTTP 200 but only repeated ""cyclic"" tokens with finish_reason=length; GUI requests either hit a corroborated 400 fallback or expired.",OPERATOR_TASK_CATALOG.csv:OP-0047; gui_operator_runs.jsonl:L143; mono-perf-direct-model-probes.json
OP-0047,2,gemma4-mono-perf,144,incomplete_empty,,BLOCKED_BY_ENV,1,0,1,1,1,1,0,0,"Both turns are empty and final=false, so option preservation and constraints are unobservable.","Direct probes returned HTTP 200 but only repeated ""cyclic"" tokens with finish_reason=length; GUI requests either hit a corroborated 400 fallback or expired.",OPERATOR_TASK_CATALOG.csv:OP-0047; gui_operator_runs.jsonl:L144; mono-perf-direct-model-probes.json
OP-0047,3,gemma4-mono-perf,145,incomplete_empty,,BLOCKED_BY_ENV,1,0,1,1,1,1,0,0,"Both turns are empty and final=false, so option preservation and constraints are unobservable.","Direct probes returned HTTP 200 but only repeated ""cyclic"" tokens with finish_reason=length; GUI requests either hit a corroborated 400 fallback or expired.",OPERATOR_TASK_CATALOG.csv:OP-0047; gui_operator_runs.jsonl:L145; mono-perf-direct-model-probes.json
OP-0048,1,gemma4-mono-perf,125,complete,,BLOCKED_BY_ENV,1,0,0,2,0,2,1,1,"Terminal response is an honest router-failure fallback, not the requested eight-item final.","Direct probes returned HTTP 200 but only repeated ""cyclic"" tokens with finish_reason=length; GUI requests either hit a corroborated 400 fallback or expired.",OPERATOR_TASK_CATALOG.csv:OP-0048; gui_operator_runs.jsonl:L125; mono-perf-direct-model-probes.json
OP-0048,2,gemma4-mono-perf,126,complete,,BLOCKED_BY_ENV,1,0,0,2,0,2,1,1,"Terminal response is an honest router-failure fallback, not the requested eight-item final.","Direct probes returned HTTP 200 but only repeated ""cyclic"" tokens with finish_reason=length; GUI requests either hit a corroborated 400 fallback or expired.",OPERATOR_TASK_CATALOG.csv:OP-0048; gui_operator_runs.jsonl:L126; mono-perf-direct-model-probes.json
OP-0048,3,gemma4-mono-perf,127,complete,,BLOCKED_BY_ENV,1,0,0,2,0,2,1,1,"Terminal response is an honest router-failure fallback, not the requested eight-item final.","Direct probes returned HTTP 200 but only repeated ""cyclic"" tokens with finish_reason=length; GUI requests either hit a corroborated 400 fallback or expired.",OPERATOR_TASK_CATALOG.csv:OP-0048; gui_operator_runs.jsonl:L127; mono-perf-direct-model-probes.json
