order,scenario_id,priority,risk,domain,feature_ids,requirement_ids,exact_preconditions,exact_commands_or_actions,required_profile,required_services,state_setup,stimulus,expected_oracle,telemetry_to_capture,safety_isolation,cleanup,repeat_count,time_budget,source_findings,dependencies,status,notes
1,SCN-LIVE-001,P0,high,source-drift,,,D:\jarvis-gpt at 686424795712cb0a562750b6dade13de18c48792 or drift reviewed; installed product; backups; alternate ports/project when applicable,Compare production tree to source commit excluding .audit/** and docs/audit/**; if different create SOURCE_DRIFT.md and rerun affected checks.,scenario-specific; all profiles only in 008-010/034,scenario-specific; use fake/local fixture whenever possible,"synthetic roots, copied DB/state, unique IDs and sentinels",Compare production tree to source commit excluding .audit/** and docs/audit/**; if different create SOURCE_DRIFT.md and rerun affected checks.,No unexplained production drift; conclusions explicitly revalidated.,"UTC command log, exit codes, app/backend/launcher logs, relevant DB/API/UI state, process/container identities",No external targets or real secrets; destructive/corruption checks only on copies/temp roots,Stop only owned fixtures/project; remove temp roots; restore network/settings; verify no orphan process/container/port,3,15m,,preceding baseline/source-drift check,NOT_RUN,Positive/error/recovery variants; functional defensive scenario; no exploit payloads.
2,SCN-LIVE-002,P1,high,powershell-static,,REQ-TEST-001,D:\jarvis-gpt at 686424795712cb0a562750b6dade13de18c48792 or drift reviewed; installed product; backups; alternate ports/project when applicable,Run PowerShell parser/PSScriptAnalyzer on every tracked .ps1/.cmd wrapper from D:\jarvis-gpt without executing service actions.,scenario-specific; all profiles only in 008-010/034,scenario-specific; use fake/local fixture whenever possible,"synthetic roots, copied DB/state, unique IDs and sentinels",Run PowerShell parser/PSScriptAnalyzer on every tracked .ps1/.cmd wrapper from D:\jarvis-gpt without executing service actions.,All scripts parse; any analyzer suppression is reviewed.,"UTC command log, exit codes, app/backend/launcher logs, relevant DB/API/UI state, process/container identities",No external targets or real secrets; destructive/corruption checks only on copies/temp roots,Stop only owned fixtures/project; remove temp roots; restore network/settings; verify no orphan process/container/port,3,10m,,preceding baseline/source-drift check,NOT_RUN,Positive/error/recovery variants; functional defensive scenario; no exploit payloads.
3,SCN-LIVE-003,P0,high,launcher-ownership,,REQ-LAUNCHER-001,D:\jarvis-gpt at 686424795712cb0a562750b6dade13de18c48792 or drift reviewed; installed product; backups; alternate ports/project when applicable,"In a disposable launcher state and fake dispatcher identity, test absent, truncated and malformed launcher-state.json then invoke stop.",scenario-specific; all profiles only in 008-010/034,scenario-specific; use fake/local fixture whenever possible,"synthetic roots, copied DB/state, unique IDs and sentinels","In a disposable launcher state and fake dispatcher identity, test absent, truncated and malformed launcher-state.json then invoke stop.",Unknown ownership fails closed and fake foreign dispatcher remains running.,"UTC command log, exit codes, app/backend/launcher logs, relevant DB/API/UI state, process/container identities",No external targets or real secrets; destructive/corruption checks only on copies/temp roots,Stop only owned fixtures/project; remove temp roots; restore network/settings; verify no orphan process/container/port,3,15m,JARVIS-0002,preceding baseline/source-drift check,NOT_RUN,Positive/error/recovery variants; functional defensive scenario; no exploit payloads.
4,SCN-LIVE-004,P0,high,launcher-process-scope,,REQ-LAUNCHER-001,D:\jarvis-gpt at 686424795712cb0a562750b6dade13de18c48792 or drift reviewed; installed product; backups; alternate ports/project when applicable,Start a harmless process whose command line mentions D:\jarvis-gpt but is not launcher-owned; invoke stop and inspect exact PID/birth identity.,scenario-specific; all profiles only in 008-010/034,scenario-specific; use fake/local fixture whenever possible,"synthetic roots, copied DB/state, unique IDs and sentinels",Start a harmless process whose command line mentions D:\jarvis-gpt but is not launcher-owned; invoke stop and inspect exact PID/birth identity.,Foreign process survives; only recorded descendants stop.,"UTC command log, exit codes, app/backend/launcher logs, relevant DB/API/UI state, process/container identities",No external targets or real secrets; destructive/corruption checks only on copies/temp roots,Stop only owned fixtures/project; remove temp roots; restore network/settings; verify no orphan process/container/port,3,15m,JARVIS-0003,preceding baseline/source-drift check,NOT_RUN,Positive/error/recovery variants; functional defensive scenario; no exploit payloads.
5,SCN-LIVE-005,P1,high,launcher-paths,,REQ-CLI-001,D:\jarvis-gpt at 686424795712cb0a562750b6dade13de18c48792 or drift reviewed; installed product; backups; alternate ports/project when applicable,"Copy only launcher harness to temp paths containing spaces, Cyrillic and apostrophe; invoke status/doctor from another cwd.",scenario-specific; all profiles only in 008-010/034,scenario-specific; use fake/local fixture whenever possible,"synthetic roots, copied DB/state, unique IDs and sentinels","Copy only launcher harness to temp paths containing spaces, Cyrillic and apostrophe; invoke status/doctor from another cwd.",Path resolution/quoting works and no unrelated path is touched.,"UTC command log, exit codes, app/backend/launcher logs, relevant DB/API/UI state, process/container identities",No external targets or real secrets; destructive/corruption checks only on copies/temp roots,Stop only owned fixtures/project; remove temp roots; restore network/settings; verify no orphan process/container/port,3,10m,,preceding baseline/source-drift check,NOT_RUN,Positive/error/recovery variants; functional defensive scenario; no exploit payloads.
6,SCN-LIVE-006,P0,high,compose-token,,REQ-DOC-001,D:\jarvis-gpt at 686424795712cb0a562750b6dade13de18c48792 or drift reviewed; installed product; backups; alternate ports/project when applicable,"Render isolated Compose project twice: empty JARVIS_API_TOKEN, then a synthetic token; do not use user data or production ports.",scenario-specific; all profiles only in 008-010/034,scenario-specific; use fake/local fixture whenever possible,"synthetic roots, copied DB/state, unique IDs and sentinels","Render isolated Compose project twice: empty JARVIS_API_TOKEN, then a synthetic token; do not use user data or production ports.",Empty token gives actionable preflight failure; synthetic token yields authenticated proxy/backend path.,"UTC command log, exit codes, app/backend/launcher logs, relevant DB/API/UI state, process/container identities",No external targets or real secrets; destructive/corruption checks only on copies/temp roots,Stop only owned fixtures/project; remove temp roots; restore network/settings; verify no orphan process/container/port,3,15m,JARVIS-0018,preceding baseline/source-drift check,NOT_RUN,Positive/error/recovery variants; functional defensive scenario; no exploit payloads.
7,SCN-LIVE-007,P0,high,compose-health,,REQ-DEPENDENCY-001,D:\jarvis-gpt at 686424795712cb0a562750b6dade13de18c48792 or drift reviewed; installed product; backups; alternate ports/project when applicable,Run docker compose config and an isolated startup using cached images on alternate project name/ports.,scenario-specific; all profiles only in 008-010/034,scenario-specific; use fake/local fixture whenever possible,"synthetic roots, copied DB/state, unique IDs and sentinels",Run docker compose config and an isolated startup using cached images on alternate project name/ports.,Backend has a valid health contract and frontend reaches ready deterministically.,"UTC command log, exit codes, app/backend/launcher logs, relevant DB/API/UI state, process/container identities",No external targets or real secrets; destructive/corruption checks only on copies/temp roots,Stop only owned fixtures/project; remove temp roots; restore network/settings; verify no orphan process/container/port,3,15m,JARVIS-0004,preceding baseline/source-drift check,NOT_RUN,Positive/error/recovery variants; functional defensive scenario; no exploit payloads.
8,SCN-LIVE-008,P1,high,offline-turbo,,REQ-DEPENDENCY-001;REQ-OFFLINE-001,D:\jarvis-gpt at 686424795712cb0a562750b6dade13de18c48792 or drift reviewed; installed product; backups; alternate ports/project when applicable,"After inventorying cached assets, disconnect network safely and start/restart gemma4-turbo without --build; capture Docker events and DNS/registry attempts.",scenario-specific; all profiles only in 008-010/034,scenario-specific; use fake/local fixture whenever possible,"synthetic roots, copied DB/state, unique IDs and sentinels","After inventorying cached assets, disconnect network safely and start/restart gemma4-turbo without --build; capture Docker events and DNS/registry attempts.",Cached turbo start does not pull or resolve registries; explicit network tools degrade independently.,"UTC command log, exit codes, app/backend/launcher logs, relevant DB/API/UI state, process/container identities",No external targets or real secrets; destructive/corruption checks only on copies/temp roots,Stop only owned fixtures/project; remove temp roots; restore network/settings; verify no orphan process/container/port,3,10m,JARVIS-0020,preceding baseline/source-drift check,NOT_RUN,Positive/error/recovery variants; functional defensive scenario; no exploit payloads.
9,SCN-LIVE-009,P1,high,offline-mono-perf,,REQ-OFFLINE-001,D:\jarvis-gpt at 686424795712cb0a562750b6dade13de18c48792 or drift reviewed; installed product; backups; alternate ports/project when applicable,Repeat cached offline start for gemma4-mono-perf and capture resolved model/image/flags.,scenario-specific; all profiles only in 008-010/034,scenario-specific; use fake/local fixture whenever possible,"synthetic roots, copied DB/state, unique IDs and sentinels",Repeat cached offline start for gemma4-mono-perf and capture resolved model/image/flags.,31B perf profile uses intended model/4k flags and no downloads.,"UTC command log, exit codes, app/backend/launcher logs, relevant DB/API/UI state, process/container identities",No external targets or real secrets; destructive/corruption checks only on copies/temp roots,Stop only owned fixtures/project; remove temp roots; restore network/settings; verify no orphan process/container/port,3,10m,,preceding baseline/source-drift check,NOT_RUN,Positive/error/recovery variants; functional defensive scenario; no exploit payloads.
10,SCN-LIVE-010,P1,high,offline-mono,,REQ-OFFLINE-001,D:\jarvis-gpt at 686424795712cb0a562750b6dade13de18c48792 or drift reviewed; installed product; backups; alternate ports/project when applicable,Repeat cached offline start for gemma4-mono with watchdog and cleanup.,scenario-specific; all profiles only in 008-010/034,scenario-specific; use fake/local fixture whenever possible,"synthetic roots, copied DB/state, unique IDs and sentinels",Repeat cached offline start for gemma4-mono with watchdog and cleanup.,31B mono profile uses intended model/offload flags and no downloads.,"UTC command log, exit codes, app/backend/launcher logs, relevant DB/API/UI state, process/container identities",No external targets or real secrets; destructive/corruption checks only on copies/temp roots,Stop only owned fixtures/project; remove temp roots; restore network/settings; verify no orphan process/container/port,3,10m,,preceding baseline/source-drift check,NOT_RUN,Positive/error/recovery variants; functional defensive scenario; no exploit payloads.
11,SCN-LIVE-011,P0,high,model-switch,,REQ-PROFILE-001,D:\jarvis-gpt at 686424795712cb0a562750b6dade13de18c48792 or drift reviewed; installed product; backups; alternate ports/project when applicable,"Use disposable JARVIS_HOME, copied DB and fake dispatcher: activate empty/incompatible/complete custom model and inject stop/start failures.",scenario-specific; all profiles only in 008-010/034,scenario-specific; use fake/local fixture whenever possible,"synthetic roots, copied DB/state, unique IDs and sentinels","Use disposable JARVIS_HOME, copied DB and fake dispatcher: activate empty/incompatible/complete custom model and inject stop/start failures.",Invalid model rejected before state change; every failed switch restores prior override and runtime.,"UTC command log, exit codes, app/backend/launcher logs, relevant DB/API/UI state, process/container identities",No external targets or real secrets; destructive/corruption checks only on copies/temp roots,Stop only owned fixtures/project; remove temp roots; restore network/settings; verify no orphan process/container/port,3,15m,JARVIS-0001,preceding baseline/source-drift check,NOT_RUN,Positive/error/recovery variants; functional defensive scenario; no exploit payloads.
12,SCN-LIVE-012,P1,high,frontend-stale,,REQ-FRONTEND-001,D:\jarvis-gpt at 686424795712cb0a562750b6dade13de18c48792 or drift reviewed; installed product; backups; alternate ports/project when applicable,"Load UI successfully, stop only launcher-owned backend, wait at least 6s and capture UI plus failed requests.",scenario-specific; all profiles only in 008-010/034,scenario-specific; use fake/local fixture whenever possible,"synthetic roots, copied DB/state, unique IDs and sentinels","Load UI successfully, stop only launcher-owned backend, wait at least 6s and capture UI plus failed requests.",UI shows offline/stale within bounded time and never keeps ready from old data.,"UTC command log, exit codes, app/backend/launcher logs, relevant DB/API/UI state, process/container identities",No external targets or real secrets; destructive/corruption checks only on copies/temp roots,Stop only owned fixtures/project; remove temp roots; restore network/settings; verify no orphan process/container/port,3,10m,JARVIS-0015,preceding baseline/source-drift check,NOT_RUN,Positive/error/recovery variants; functional defensive scenario; no exploit payloads.
13,SCN-LIVE-013,P1,high,websocket-contract,,REQ-DOC-001;REQ-LEGACY-001;REQ-STREAM-001,D:\jarvis-gpt at 686424795712cb0a562750b6dade13de18c48792 or drift reviewed; installed product; backups; alternate ports/project when applicable,"Open Command Center with authenticated backend, capture WS connections/events, disconnect/reconnect and inspect event-feed state.",scenario-specific; all profiles only in 008-010/034,scenario-specific; use fake/local fixture whenever possible,"synthetic roots, copied DB/state, unique IDs and sentinels","Open Command Center with authenticated backend, capture WS connections/events, disconnect/reconnect and inspect event-feed state.",Transport exists or UX explicitly says disabled; terminal events are ordered/recoverable.,"UTC command log, exit codes, app/backend/launcher logs, relevant DB/API/UI state, process/container identities",No external targets or real secrets; destructive/corruption checks only on copies/temp roots,Stop only owned fixtures/project; remove temp roots; restore network/settings; verify no orphan process/container/port,3,10m,JARVIS-0014,preceding baseline/source-drift check,NOT_RUN,Positive/error/recovery variants; functional defensive scenario; no exploit payloads.
14,SCN-LIVE-014,P1,high,stream-terminal-cancel,,REQ-FRONTEND-001;REQ-STREAM-001,D:\jarvis-gpt at 686424795712cb0a562750b6dade13de18c48792 or drift reviewed; installed product; backups; alternate ports/project when applicable,"Point UI at a local synthetic NDJSON stream that ends without terminal, then a slow stream cancelled by user/window close.",scenario-specific; all profiles only in 008-010/034,scenario-specific; use fake/local fixture whenever possible,"synthetic roots, copied DB/state, unique IDs and sentinels","Point UI at a local synthetic NDJSON stream that ends without terminal, then a slow stream cancelled by user/window close.",Missing terminal becomes interrupted/error; cancellation reaches backend and no late UI mutation occurs.,"UTC command log, exit codes, app/backend/launcher logs, relevant DB/API/UI state, process/container identities",No external targets or real secrets; destructive/corruption checks only on copies/temp roots,Stop only owned fixtures/project; remove temp roots; restore network/settings; verify no orphan process/container/port,3,10m,JARVIS-0016,preceding baseline/source-drift check,NOT_RUN,Positive/error/recovery variants; functional defensive scenario; no exploit payloads.
15,SCN-LIVE-015,P1,high,stream-reconnect,,REQ-API-001;REQ-STREAM-001,D:\jarvis-gpt at 686424795712cb0a562750b6dade13de18c48792 or drift reviewed; installed product; backups; alternate ports/project when applicable,Exercise normal/slow/disconnected/reconnected API and WebSocket flows with unique correlation IDs.,scenario-specific; all profiles only in 008-010/034,scenario-specific; use fake/local fixture whenever possible,"synthetic roots, copied DB/state, unique IDs and sentinels",Exercise normal/slow/disconnected/reconnected API and WebSocket flows with unique correlation IDs.,One ordered terminal state per request; no duplicates or cross-session events.,"UTC command log, exit codes, app/backend/launcher logs, relevant DB/API/UI state, process/container identities",No external targets or real secrets; destructive/corruption checks only on copies/temp roots,Stop only owned fixtures/project; remove temp roots; restore network/settings; verify no orphan process/container/port,3,10m,,preceding baseline/source-drift check,NOT_RUN,Positive/error/recovery variants; functional defensive scenario; no exploit payloads.
16,SCN-LIVE-016,P0,high,chat-idempotency,,REQ-IDEMPOTENCY-001,D:\jarvis-gpt at 686424795712cb0a562750b6dade13de18c48792 or drift reviewed; installed product; backups; alternate ports/project when applicable,"With fake delayed LLM and temp append target, send two concurrent turns in one conversation; lose first HTTP response and retry same logical request.",scenario-specific; all profiles only in 008-010/034,scenario-specific; use fake/local fixture whenever possible,"synthetic roots, copied DB/state, unique IDs and sentinels","With fake delayed LLM and temp append target, send two concurrent turns in one conversation; lose first HTTP response and retry same logical request.",Turns serialize and append/side effects occur exactly once using caller idempotency key.,"UTC command log, exit codes, app/backend/launcher logs, relevant DB/API/UI state, process/container identities",No external targets or real secrets; destructive/corruption checks only on copies/temp roots,Stop only owned fixtures/project; remove temp roots; restore network/settings; verify no orphan process/container/port,3,15m,JARVIS-0010,preceding baseline/source-drift check,NOT_RUN,Positive/error/recovery variants; functional defensive scenario; no exploit payloads.
17,SCN-LIVE-017,P0,high,approval-atomicity-secrets,,REQ-APPROVAL-001;REQ-SECRET-001,D:\jarvis-gpt at 686424795712cb0a562750b6dade13de18c48792 or drift reviewed; installed product; backups; alternate ports/project when applicable,"Use nested synthetic sentinel in tool environment/arguments; inject audit failure after approve/claim/finalize on copied DB, restart and query API/audit.",scenario-specific; all profiles only in 008-010/034,scenario-specific; use fake/local fixture whenever possible,"synthetic roots, copied DB/state, unique IDs and sentinels","Use nested synthetic sentinel in tool environment/arguments; inject audit failure after approve/claim/finalize on copied DB, restart and query API/audit.",No sentinel persists; client/DB/audit agree; recovery cannot replay action.,"UTC command log, exit codes, app/backend/launcher logs, relevant DB/API/UI state, process/container identities",No external targets or real secrets; destructive/corruption checks only on copies/temp roots,Stop only owned fixtures/project; remove temp roots; restore network/settings; verify no orphan process/container/port,3,15m,JARVIS-0009,preceding baseline/source-drift check,NOT_RUN,Positive/error/recovery variants; functional defensive scenario; no exploit payloads.
18,SCN-LIVE-018,P0,high,db-transaction-poison,,REQ-STORAGE-001,D:\jarvis-gpt at 686424795712cb0a562750b6dade13de18c48792 or drift reviewed; installed product; backups; alternate ports/project when applicable,"On temp DB make MemoryVault throw after SQL in add_memory, then perform unrelated write and reopen DB.",scenario-specific; all profiles only in 008-010/034,scenario-specific; use fake/local fixture whenever possible,"synthetic roots, copied DB/state, unique IDs and sentinels","On temp DB make MemoryVault throw after SQL in add_memory, then perform unrelated write and reopen DB.",Failed memory is absent and later write cannot commit it.,"UTC command log, exit codes, app/backend/launcher logs, relevant DB/API/UI state, process/container identities",No external targets or real secrets; destructive/corruption checks only on copies/temp roots,Stop only owned fixtures/project; remove temp roots; restore network/settings; verify no orphan process/container/port,3,15m,JARVIS-0007,preceding baseline/source-drift check,NOT_RUN,Positive/error/recovery variants; functional defensive scenario; no exploit payloads.
19,SCN-LIVE-019,P0,high,job-race-start,,REQ-JOBS-001,D:\jarvis-gpt at 686424795712cb0a562750b6dade13de18c48792 or drift reviewed; installed product; backups; alternate ports/project when applicable,Create two benign jobs with barriers; concurrent start/update plus paused/done/already-running starts; capture rows/history/events.,scenario-specific; all profiles only in 008-010/034,scenario-specific; use fake/local fixture whenever possible,"synthetic roots, copied DB/state, unique IDs and sentinels",Create two benign jobs with barriers; concurrent start/update plus paused/done/already-running starts; capture rows/history/events.,No lost fields; rejected starts never publish started; every admitted run has terminal record.,"UTC command log, exit codes, app/backend/launcher logs, relevant DB/API/UI state, process/container identities",No external targets or real secrets; destructive/corruption checks only on copies/temp roots,Stop only owned fixtures/project; remove temp roots; restore network/settings; verify no orphan process/container/port,3,15m,JARVIS-0008,preceding baseline/source-drift check,NOT_RUN,Positive/error/recovery variants; functional defensive scenario; no exploit payloads.
20,SCN-LIVE-020,P0,high,replay-eviction,,REQ-IDEMPOTENCY-001,D:\jarvis-gpt at 686424795712cb0a562750b6dade13de18c48792 or drift reviewed; installed product; backups; alternate ports/project when applicable,"Use tiny temp replay ledger, evict an old committed key, change temp target and retry old transaction key.",scenario-specific; all profiles only in 008-010/034,scenario-specific; use fake/local fixture whenever possible,"synthetic roots, copied DB/state, unique IDs and sentinels","Use tiny temp replay ledger, evict an old committed key, change temp target and retry old transaction key.",Retry is rejected/recognized as expired and mutation is not reapplied.,"UTC command log, exit codes, app/backend/launcher logs, relevant DB/API/UI state, process/container identities",No external targets or real secrets; destructive/corruption checks only on copies/temp roots,Stop only owned fixtures/project; remove temp roots; restore network/settings; verify no orphan process/container/port,3,15m,,preceding baseline/source-drift check,NOT_RUN,Positive/error/recovery variants; functional defensive scenario; no exploit payloads.
21,SCN-LIVE-021,P1,high,watch-outbox-time,,REQ-JOBS-001,D:\jarvis-gpt at 686424795712cb0a562750b6dade13de18c48792 or drift reviewed; installed product; backups; alternate ports/project when applicable,Use fake fetch and inject failure after digest before event/memory; also test malformed deadline and extreme cadence with unrelated due job.,scenario-specific; all profiles only in 008-010/034,scenario-specific; use fake/local fixture whenever possible,"synthetic roots, copied DB/state, unique IDs and sentinels",Use fake fetch and inject failure after digest before event/memory; also test malformed deadline and extreme cadence with unrelated due job.,Alert reconciles/retries; bad job is quarantined without blocking others.,"UTC command log, exit codes, app/backend/launcher logs, relevant DB/API/UI state, process/container identities",No external targets or real secrets; destructive/corruption checks only on copies/temp roots,Stop only owned fixtures/project; remove temp roots; restore network/settings; verify no orphan process/container/port,3,10m,JARVIS-0022,preceding baseline/source-drift check,NOT_RUN,Positive/error/recovery variants; functional defensive scenario; no exploit payloads.
22,SCN-LIVE-022,P0,high,regex-watchdog,,REQ-JOBS-001;REQ-RESOURCE-001,D:\jarvis-gpt at 686424795712cb0a562750b6dade13de18c48792 or drift reviewed; installed product; backups; alternate ports/project when applicable,"In a disposable subprocess with heartbeat, run reviewed pathological regex against small synthetic text for watch/document/archive search.",scenario-specific; all profiles only in 008-010/034,scenario-specific; use fake/local fixture whenever possible,"synthetic roots, copied DB/state, unique IDs and sentinels","In a disposable subprocess with heartbeat, run reviewed pathological regex against small synthetic text for watch/document/archive search.",Hard budget aborts match and heartbeat/event loop remains responsive.,"UTC command log, exit codes, app/backend/launcher logs, relevant DB/API/UI state, process/container identities",No external targets or real secrets; destructive/corruption checks only on copies/temp roots,Stop only owned fixtures/project; remove temp roots; restore network/settings; verify no orphan process/container/port,3,15m,JARVIS-0013,preceding baseline/source-drift check,NOT_RUN,Positive/error/recovery variants; functional defensive scenario; no exploit payloads.
23,SCN-LIVE-023,P0,high,browser-public-only,,REQ-TRUST-001;REQ-URL-001,D:\jarvis-gpt at 686424795712cb0a562750b6dade13de18c48792 or drift reviewed; installed product; backups; alternate ports/project when applicable,"Use mock resolver/route and local synthetic redirect graph representing public-to-private, mixed DNS and rebinding; no external targets.",scenario-specific; all profiles only in 008-010/034,scenario-specific; use fake/local fixture whenever possible,"synthetic roots, copied DB/state, unique IDs and sentinels","Use mock resolver/route and local synthetic redirect graph representing public-to-private, mixed DNS and rebinding; no external targets.",Every redirect/subresource/private destination is blocked before connection.,"UTC command log, exit codes, app/backend/launcher logs, relevant DB/API/UI state, process/container identities",No external targets or real secrets; destructive/corruption checks only on copies/temp roots,Stop only owned fixtures/project; remove temp roots; restore network/settings; verify no orphan process/container/port,3,15m,JARVIS-0005,preceding baseline/source-drift check,NOT_RUN,Positive/error/recovery variants; functional defensive scenario; no exploit payloads.
24,SCN-LIVE-024,P0,high,browser-isolation-trust,,REQ-SECRET-001;REQ-TRUST-001;REQ-URL-001,D:\jarvis-gpt at 686424795712cb0a562750b6dade13de18c48792 or drift reviewed; installed product; backups; alternate ports/project when applicable,Start worker with synthetic secret-name env and sentinel runtime file; inspect effective env/mount/uid/caps/browser args; use self-signed local HTTPS and instruction sentinel.,scenario-specific; all profiles only in 008-010/034,scenario-specific; use fake/local fixture whenever possible,"synthetic roots, copied DB/state, unique IDs and sentinels",Start worker with synthetic secret-name env and sentinel runtime file; inspect effective env/mount/uid/caps/browser args; use self-signed local HTTPS and instruction sentinel.,"Secrets/files are not available, sandbox is active, invalid TLS fails closed and source instructions remain data.","UTC command log, exit codes, app/backend/launcher logs, relevant DB/API/UI state, process/container identities",No external targets or real secrets; destructive/corruption checks only on copies/temp roots,Stop only owned fixtures/project; remove temp roots; restore network/settings; verify no orphan process/container/port,3,15m,JARVIS-0006;JARVIS-0024,preceding baseline/source-drift check,NOT_RUN,Positive/error/recovery variants; functional defensive scenario; no exploit payloads.
25,SCN-LIVE-025,P0,high,ingest-boundary,,REQ-FILES-001;REQ-TRUST-001,D:\jarvis-gpt at 686424795712cb0a562750b6dade13de18c48792 or drift reviewed; installed product; backups; alternate ports/project when applicable,"Temp allowed root contains normal file, .env sentinel and symlink to an outside temp sentinel; call directory ingest and inspect DB/files/audit/logs.",scenario-specific; all profiles only in 008-010/034,scenario-specific; use fake/local fixture whenever possible,"synthetic roots, copied DB/state, unique IDs and sentinels","Temp allowed root contains normal file, .env sentinel and symlink to an outside temp sentinel; call directory ingest and inspect DB/files/audit/logs.",Only intended contained files ingest; no sentinel content/path leaks.,"UTC command log, exit codes, app/backend/launcher logs, relevant DB/API/UI state, process/container identities",No external targets or real secrets; destructive/corruption checks only on copies/temp roots,Stop only owned fixtures/project; remove temp roots; restore network/settings; verify no orphan process/container/port,3,15m,JARVIS-0011,preceding baseline/source-drift check,NOT_RUN,Positive/error/recovery variants; functional defensive scenario; no exploit payloads.
26,SCN-LIVE-026,P1,high,archive-atomicity,,REQ-ARCHIVE-001;REQ-FILES-001,D:\jarvis-gpt at 686424795712cb0a562750b6dade13de18c48792 or drift reviewed; installed product; backups; alternate ports/project when applicable,Repeat tiny ZIP/TAR/GZ/available-7z extraction with low limits into pre-snapshotted temp output.,scenario-specific; all profiles only in 008-010/034,scenario-specific; use fake/local fixture whenever possible,"synthetic roots, copied DB/state, unique IDs and sentinels",Repeat tiny ZIP/TAR/GZ/available-7z extraction with low limits into pre-snapshotted temp output.,On error output snapshot is unchanged; success publishes a complete tree atomically.,"UTC command log, exit codes, app/backend/launcher logs, relevant DB/API/UI state, process/container identities",No external targets or real secrets; destructive/corruption checks only on copies/temp roots,Stop only owned fixtures/project; remove temp roots; restore network/settings; verify no orphan process/container/port,3,10m,JARVIS-0012,preceding baseline/source-drift check,NOT_RUN,Positive/error/recovery variants; functional defensive scenario; no exploit payloads.
27,SCN-LIVE-027,P1,high,document-collision,,REQ-FILES-001,D:\jarvis-gpt at 686424795712cb0a562750b6dade13de18c48792 or drift reviewed; installed product; backups; alternate ports/project when applicable,Freeze clock and run repeated/concurrent same output name in temp output root.,scenario-specific; all profiles only in 008-010/034,scenario-specific; use fake/local fixture whenever possible,"synthetic roots, copied DB/state, unique IDs and sentinels",Freeze clock and run repeated/concurrent same output name in temp output root.,Each success gets a unique artifact or explicit collision; no overwrite/mixed directory.,"UTC command log, exit codes, app/backend/launcher logs, relevant DB/API/UI state, process/container identities",No external targets or real secrets; destructive/corruption checks only on copies/temp roots,Stop only owned fixtures/project; remove temp roots; restore network/settings; verify no orphan process/container/port,3,10m,JARVIS-0017,preceding baseline/source-drift check,NOT_RUN,Positive/error/recovery variants; functional defensive scenario; no exploit payloads.
