operator_case_id,scenario_id,profile,repeat,selected_attempt,jsonl_line,status,intent_fidelity,task_completion,constraint_adherence,truthfulness,response_integrity,state_consistency,recovery_quality,ux_clarity,rationale,attempt_history,evidence_refs
OP-0045,FUNC-0045,gemma4-mono-perf,1,2,121,FAIL,0,0,0,1,1,NA,1,1,"Fallback reports an LLM-router 400 instead of answering the density question.","L120 was an empty incomplete record; explicit attempt 2 selected.","gui_operator_runs.jsonl:L121; mono-perf-direct-model-probes.json#/probes"
OP-0045,FUNC-0045,gemma4-mono-perf,2,1,122,FAIL,0,0,0,1,1,NA,1,1,"Fallback reports an LLM-router 400 instead of answering the density question.","none","gui_operator_runs.jsonl:L122; mono-perf-direct-model-probes.json#/probes"
OP-0046,FUNC-0046,gemma4-mono-perf,1,1,123,FAIL,0,0,0,NA,0,NA,NA,0,"No response was rendered before the 15-second timeout.","none","gui_operator_runs.jsonl:L123; mono-perf-direct-model-probes.json#/probes"
OP-0046,FUNC-0046,gemma4-mono-perf,2,1,124,FAIL,0,0,0,NA,0,NA,NA,0,"No response was rendered before the 15-second timeout.","none","gui_operator_runs.jsonl:L124; mono-perf-direct-model-probes.json#/probes"
OP-0047,FUNC-0047,gemma4-mono-perf,1,1,143,FAIL,0,0,0,NA,0,0,0,0,"Both turns timed out with empty responses; no constrained state change can be evaluated.","none","gui_operator_runs.jsonl:L143; mono-perf-direct-model-probes.json#/probes"
OP-0047,FUNC-0047,gemma4-mono-perf,2,1,144,FAIL,0,0,0,NA,0,0,0,0,"Both turns timed out with empty responses; no constrained state change can be evaluated.","none","gui_operator_runs.jsonl:L144; mono-perf-direct-model-probes.json#/probes"
OP-0047,FUNC-0047,gemma4-mono-perf,3,1,145,FAIL,0,0,0,NA,0,0,0,0,"Both turns timed out with empty responses; no constrained state change can be evaluated.","none","gui_operator_runs.jsonl:L145; mono-perf-direct-model-probes.json#/probes"
OP-0048,FUNC-0048,gemma4-mono-perf,1,1,125,FAIL,0,0,0,1,1,NA,1,1,"A clean terminal fallback is shown, but no eight-item service check is produced.","none","gui_operator_runs.jsonl:L125; mono-perf-direct-model-probes.json#/probes"
OP-0048,FUNC-0048,gemma4-mono-perf,2,1,126,FAIL,0,0,0,1,1,NA,1,1,"A clean terminal fallback is shown, but no eight-item service check is produced.","none","gui_operator_runs.jsonl:L126; mono-perf-direct-model-probes.json#/probes"
OP-0048,FUNC-0048,gemma4-mono-perf,3,1,127,FAIL,0,0,0,1,1,NA,1,1,"A clean terminal fallback is shown, but no eight-item service check is produced.","none","gui_operator_runs.jsonl:L127; mono-perf-direct-model-probes.json#/probes"
OP-0049,FUNC-0049,gemma4-mono-perf,1,1,128,FAIL,0,0,0,NA,0,NA,0,0,"The read-only status request timed out without any rendered result.","none","gui_operator_runs.jsonl:L128; mono-perf-direct-model-probes.json#/probes"
OP-0049,FUNC-0049,gemma4-mono-perf,2,1,129,FAIL,0,0,0,NA,0,NA,0,0,"The read-only status request timed out without any rendered result.","none","gui_operator_runs.jsonl:L129; mono-perf-direct-model-probes.json#/probes"
OP-0050,FUNC-0050,gemma4-mono-perf,1,1,130,FAIL,1,0,0,1,2,0,1,1,"The fixture is indexed, but retrieval reports no reliable match instead of the exact checksum marker.","none","gui_operator_runs.jsonl:L130; profile-fixture-upload-results.json#/results/9"
OP-0050,FUNC-0050,gemma4-mono-perf,2,1,131,FAIL,1,0,0,1,2,0,1,1,"The fixture is indexed, but retrieval reports no reliable match instead of the exact checksum marker.","none","gui_operator_runs.jsonl:L131; profile-fixture-upload-results.json#/results/10"
OP-0051,FUNC-0051,gemma4-mono-perf,1,2,149,FAIL,0,0,0,1,1,0,0,1,"The same router fallback is returned for both corrupt and valid PDFs; no error classification or clean retry occurs.","L146 ended after turn 1 with Error: disabled; explicit attempt 2 selected.","gui_operator_runs.jsonl:L149; PROFILE_PDF_FIXTURE_QA.md; profile-fixture-upload-results.json#/results/6-13"
OP-0051,FUNC-0051,gemma4-mono-perf,2,2,150,FAIL,0,0,0,1,1,0,0,1,"The same router fallback is returned for both corrupt and valid PDFs; no error classification or clean retry occurs.","L147 ended after turn 1 with Error: disabled; explicit attempt 2 selected.","gui_operator_runs.jsonl:L150; PROFILE_PDF_FIXTURE_QA.md; profile-fixture-upload-results.json#/results/6-13"
OP-0051,FUNC-0051,gemma4-mono-perf,3,2,151,FAIL,0,0,0,1,1,0,0,1,"The same router fallback is returned for both corrupt and valid PDFs; no error classification or clean retry occurs.","L148 ended after turn 1 with Error: disabled; explicit attempt 2 selected.","gui_operator_runs.jsonl:L151; PROFILE_PDF_FIXTURE_QA.md; profile-fixture-upload-results.json#/results/6-13"
OP-0052,FUNC-0052,gemma4-mono-perf,1,1,132,FAIL,0,0,0,NA,0,0,0,0,"Mission execution timed out with no plan, progress, comparison, or final report.","none","gui_operator_runs.jsonl:L132; profile-fixture-upload-results.json#/results/0-5; mono-perf-direct-model-probes.json#/probes"
OP-0052,FUNC-0052,gemma4-mono-perf,2,1,133,FAIL,0,0,0,NA,0,0,0,0,"Mission execution timed out with no plan, progress, comparison, or final report.","none","gui_operator_runs.jsonl:L133; profile-fixture-upload-results.json#/results/0-5; mono-perf-direct-model-probes.json#/probes"
OP-0052,FUNC-0052,gemma4-mono-perf,3,1,134,FAIL,0,0,0,NA,0,0,0,0,"Mission execution timed out with no plan, progress, comparison, or final report.","none","gui_operator_runs.jsonl:L134; profile-fixture-upload-results.json#/results/0-5; mono-perf-direct-model-probes.json#/probes"
OP-0053,FUNC-0053,gemma4-mono-perf,1,1,135,FAIL,0,0,0,NA,0,NA,0,0,"No natural-language response was rendered before timeout.","none","gui_operator_runs.jsonl:L135; mono-perf-direct-model-probes.json#/probes"
OP-0053,FUNC-0053,gemma4-mono-perf,2,1,136,FAIL,0,0,0,NA,0,NA,0,0,"No natural-language response was rendered before timeout.","none","gui_operator_runs.jsonl:L136; mono-perf-direct-model-probes.json#/probes"
OP-0053,FUNC-0053,gemma4-mono-perf,3,1,137,FAIL,0,0,0,NA,0,NA,0,0,"No natural-language response was rendered before timeout.","none","gui_operator_runs.jsonl:L137; mono-perf-direct-model-probes.json#/probes"
OP-0054,FUNC-0054,gemma4-mono-perf,1,1,152,FAIL,0,0,0,NA,0,0,0,0,"All four window turns timed out empty; isolation and format state were never established.","none","gui_operator_runs.jsonl:L152; mono-perf-direct-model-probes.json#/probes"
OP-0054,FUNC-0054,gemma4-mono-perf,2,1,153,FAIL,0,0,0,NA,0,0,0,0,"All four window turns timed out empty; isolation and format state were never established.","none","gui_operator_runs.jsonl:L153; mono-perf-direct-model-probes.json#/probes"
OP-0054,FUNC-0054,gemma4-mono-perf,3,1,154,FAIL,0,0,0,NA,0,0,0,0,"All four window turns timed out empty; isolation and format state were never established.","none","gui_operator_runs.jsonl:L154; mono-perf-direct-model-probes.json#/probes"
OP-0055,FUNC-0055,gemma4-mono-perf,1,1,138,FAIL,0,0,0,NA,0,0,0,0,"No profile, model, or configured context answer was rendered before timeout.","none","gui_operator_runs.jsonl:L138; mono-perf-direct-model-probes.json#/models; mono-perf-direct-model-probes.json#/probes"
OP-0055,FUNC-0055,gemma4-mono-perf,2,1,139,FAIL,0,0,0,NA,0,0,0,0,"No profile, model, or configured context answer was rendered before timeout.","none","gui_operator_runs.jsonl:L139; mono-perf-direct-model-probes.json#/models; mono-perf-direct-model-probes.json#/probes"
OP-0055,FUNC-0055,gemma4-mono-perf,3,1,140,FAIL,0,0,0,NA,0,0,0,0,"No profile, model, or configured context answer was rendered before timeout.","none","gui_operator_runs.jsonl:L140; mono-perf-direct-model-probes.json#/models; mono-perf-direct-model-probes.json#/probes"
OP-0056,FUNC-0056,gemma4-mono-perf,1,1,141,FAIL,0,0,0,NA,0,NA,0,0,"The web request timed out with no cited result or actionable network blocker.","none","gui_operator_runs.jsonl:L141; mono-perf-direct-model-probes.json#/probes"
OP-0056,FUNC-0056,gemma4-mono-perf,2,1,142,FAIL,0,0,0,NA,0,NA,0,0,"The web request timed out with no cited result or actionable network blocker.","none","gui_operator_runs.jsonl:L142; mono-perf-direct-model-probes.json#/probes"
OP-0057,FUNC-0057,gemma4-mono,1,1,155,FAIL,0,0,0,NA,0,NA,NA,0,"No response was rendered; the request ran after the 20-minute startup deadline while the mono dispatcher was still unusable.","none","gui_operator_runs.jsonl:L155; mono-startup-timeout-20m.json#/note; mono-ready-after-27m.json#/note"
OP-0057,FUNC-0057,gemma4-mono,2,1,156,FAIL,0,0,0,NA,0,NA,NA,0,"No response was rendered; the request ran after the 20-minute startup deadline while the mono dispatcher was still unusable.","none","gui_operator_runs.jsonl:L156; mono-startup-timeout-20m.json#/note; mono-ready-after-27m.json#/note"
OP-0058,FUNC-0058,gemma4-mono,1,1,157,FAIL,0,0,0,NA,0,NA,NA,0,"No table or terminal response was rendered before timeout.","none","gui_operator_runs.jsonl:L157; mono-startup-timeout-20m.json#/note; mono-ready-after-27m.json#/note"
OP-0058,FUNC-0058,gemma4-mono,2,1,158,FAIL,0,0,0,NA,0,NA,NA,0,"No table or terminal response was rendered before timeout.","none","gui_operator_runs.jsonl:L158; mono-startup-timeout-20m.json#/note; mono-ready-after-27m.json#/note"
OP-0059,FUNC-0059,gemma4-mono,1,1,174,FAIL,0,0,0,NA,0,0,0,0,"Both turns timed out empty even after dispatcher readiness; no option identity was established.","none","gui_operator_runs.jsonl:L174; mono-ready-after-27m.json#/note; mono-direct-model-probes-ready.json#/probes/0"
OP-0059,FUNC-0059,gemma4-mono,2,1,175,FAIL,0,0,0,NA,0,0,0,0,"Both turns timed out empty even after dispatcher readiness; no option identity was established.","none","gui_operator_runs.jsonl:L175; mono-ready-after-27m.json#/note; mono-direct-model-probes-ready.json#/probes/0"
OP-0059,FUNC-0059,gemma4-mono,3,1,176,FAIL,0,0,0,NA,0,0,0,0,"Both turns timed out empty even after dispatcher readiness; no option identity was established.","none","gui_operator_runs.jsonl:L176; mono-ready-after-27m.json#/note; mono-direct-model-probes-ready.json#/probes/0"
OP-0060,FUNC-0060,gemma4-mono,1,1,159,FAIL,0,0,0,NA,0,NA,0,0,"No seven-item response or terminal message was rendered before timeout.","none","gui_operator_runs.jsonl:L159; mono-startup-timeout-20m.json#/note; mono-ready-after-27m.json#/note"
OP-0060,FUNC-0060,gemma4-mono,2,1,160,FAIL,0,0,0,NA,0,NA,0,0,"No seven-item response or terminal message was rendered before timeout.","none","gui_operator_runs.jsonl:L160; mono-startup-timeout-20m.json#/note; mono-ready-after-27m.json#/note"
OP-0060,FUNC-0060,gemma4-mono,3,1,161,FAIL,0,0,0,NA,0,NA,0,0,"No seven-item response or terminal message was rendered before timeout.","none","gui_operator_runs.jsonl:L161; mono-startup-timeout-20m.json#/note; mono-ready-after-27m.json#/note"
OP-0061,FUNC-0061,gemma4-mono,1,1,162,FAIL,0,0,0,NA,0,NA,0,0,"The read-only profile request timed out without a rendered answer.","none","gui_operator_runs.jsonl:L162; mono-startup-timeout-20m.json#/backend_status; mono-ready-after-27m.json#/note"
OP-0061,FUNC-0061,gemma4-mono,2,1,163,FAIL,0,0,0,NA,0,NA,0,0,"The read-only profile request timed out without a rendered answer.","none","gui_operator_runs.jsonl:L163; mono-startup-timeout-20m.json#/backend_status; mono-ready-after-27m.json#/note"
