task_id,priority,status,title,finding_id,dependencies,task_path,acceptance
SPARK-0001,P2,READY,Direct DNS question is misrouted to shopping,FUNC-FIND-001,,tasks/SPARK-0001.md,Both deterministic repeats route to DNS/network lookup and return one factual sentence without shopping output.
SPARK-0002,P2,READY,Exact response constraints are not consistently enforced,FUNC-FIND-002,,tasks/SPARK-0002.md,All listed cases pass their deterministic parser/count validators in three consecutive runs.
SPARK-0003,P1,READY,Artifact generation ignores exact paths or returns incomplete transforms,FUNC-FIND-003,,tasks/SPARK-0003.md,"Exact-path, copy-only, conversion, and three-way collision tests produce validated artifacts with unchanged sources."
SPARK-0004,P2,READY,Multi-turn references to prior options/files are lost,FUNC-FIND-004,,tasks/SPARK-0004.md,All reference cases resolve the exact prior object across three deterministic repeats without cross-window state.
SPARK-0005,P2,READY,Ambiguous request creates a mission instead of one precise question,FUNC-FIND-005,,tasks/SPARK-0005.md,No mission/artifact is created before one exact clarification; the follow-up resumes the original goal.
SPARK-0006,P1,READY,Raw tool-call envelopes reach rendered assistant output,FUNC-FIND-006,,tasks/SPARK-0006.md,"Known marker scan finds zero tool envelopes in DOM, NDJSON deltas, and terminal answers over all affected cases."
SPARK-0007,P1,READY,Uploaded document recall is unreliable and blocks missions,FUNC-FIND-007,,tasks/SPARK-0007.md,"Fresh and previously uploaded files resolve by exact name/ID and complete fact, comparison, retry, and mission cases."
SPARK-0008,P2,READY,Corrupt document recovery is inconsistent,FUNC-FIND-008,,tasks/SPARK-0008.md,Three corrupt-to-valid retries show one actionable error followed by one clean result with no stale content.
SPARK-0009,P1,READY,Approved safe action uses a non-canonical tool schema,FUNC-FIND-009,,tasks/SPARK-0009.md,Three end-to-end approvals bind the canonical action and create only the approved path exactly once.
SPARK-0010,P2,READY,Web synthesis does not reliably return a cited usable result,FUNC-FIND-010,,tasks/SPARK-0010.md,"Three runs contain supported claims with direct URLs, or one precise actionable unavailability message."
SPARK-0011,P1,READY,Interrupted GUI stream can leave an empty stale assistant bubble,FUNC-FIND-011,,tasks/SPARK-0011.md,Navigation interruption and retry yield no empty/duplicate/stale final in three repeats and persisted history matches DOM.
SPARK-0012,P2,READY,Requested memory namespace is ignored,FUNC-FIND-012,,tasks/SPARK-0012.md,Writes and recall use the requested namespace exactly and operator/default namespaces remain unchanged.
SPARK-0013,P1,READY,Both 31B profiles are functionally unusable on the certified machine,FUNC-FIND-013,,tasks/SPARK-0013.md,"Each profile declares a numeric readiness deadline; fake-clock tests enforce it; three live direct probes answer 4 (not repeated tokens), and a bounded GUI answer completes without fallback before the configured request timeout."
SPARK-0014,P2,READY,Repeated start is not idempotent,FUNC-FIND-014,,tasks/SPARK-0014.md,"Three repeat starts return zero, preserve PIDs/container identity, and report already running without lease errors."
SPARK-0015,P1,READY,GUI transcript survives a runtime-home identity change,FUNC-FIND-015,,tasks/SPARK-0015.md,Three old-home to new-home switches show zero old messages and DOM/history equal the new backend state.
SPARK-0016,P1,READY,Doctor returns success when a required test fails,FUNC-FIND-016,,tasks/SPARK-0016.md,A forced required failure makes doctor exit nonzero; clean full suite exits zero; tests do not inherit deployment home/profile variables.
SPARK-0017,P1,READY,Doctor output exposes the runtime API token,FUNC-FIND-017,,tasks/SPARK-0017.md,Canary credentials never appear in doctor stdout/stderr/JSON or persisted logs; regression scan passes.
