feature_id,group_id,group_name,public_surface,feature,ordinary_user_journey,profiles,scenario_ids,operator_case_ids,priority,documented_gap,status
FUNC-FEATURE-001,G01,launcher/start/stop/restart/status,Launcher menu and jarvis.cmd,Interactive menu,Open menu; choose a profile and startup preset; observe final status,all_active,FUNC-0069;FUNC-0070,,P0,,FAIL
FUNC-FEATURE-002,G01,launcher/start/stop/restart/status,jarvis.cmd start/app,Cold and warm start,Start full stack or app-only; verify only requested services and ownership,all_active,FUNC-0069;FUNC-0070;FUNC-0071,OP-0044,P0,,FAIL
FUNC-FEATURE-003,G01,launcher/start/stop/restart/status,jarvis.cmd stop/restart/status,Lifecycle and ownership,Restart owned stack; stop it; verify reused dispatcher is preserved,all_active,FUNC-0071;FUNC-0086,OP-0044,P0,,INCONCLUSIVE
FUNC-FEATURE-004,G01,launcher/start/stop/restart/status,jarvis.cmd doctor,Readiness smoke,Run doctor once and inspect binary checks plus optional live probes,gemma4-turbo,FUNC-0074,,P1,,FAIL
FUNC-FEATURE-005,G02,profile/model selection,Launcher and CLI --profile,Select launchable profile,"Select turbo, mono-perf or mono and verify resolved config",all_active,FUNC-0035;FUNC-0078,OP-0035;OP-0055;OP-0067,P0,,FAIL
FUNC-FEATURE-006,G02,profile/model selection,API /api/model-profiles and /api/models,Catalog and active identity,"Compare configured profile, active model, dispatcher identity and UI",all_active,FUNC-0035;FUNC-0055;FUNC-0067;FUNC-0078,OP-0035;OP-0055;OP-0067,P0,Future planner/executor entries are informational and not launchable,FAIL
FUNC-FEATURE-007,G02,profile/model selection,Command Center Models,Model controls and truth,View active/local models and dispatcher state without downloading or deleting,all_active,FUNC-0035;FUNC-0078,OP-0035;OP-0055;OP-0067,P1,Model download/delete/activate requires a separately owned fixture,FAIL
FUNC-FEATURE-008,G03,chat and streaming,Command Center Dialog,Direct answer,Submit an ordinary question and receive a complete useful Russian answer,all_active,FUNC-0001;FUNC-0002;FUNC-0045;FUNC-0057,OP-0001;OP-0002;OP-0045;OP-0057,P0,,INCONCLUSIVE
FUNC-FEATURE-009,G03,chat and streaming,Command Center Dialog,Instruction and format fidelity,"Request exact sentence, list, table, prose or JSON formats and validate deterministically",all_active,FUNC-0006;FUNC-0007;FUNC-0008;FUNC-0009;FUNC-0010;FUNC-0011;FUNC-0012;FUNC-0046;FUNC-0058,OP-0006;OP-0007;OP-0008;OP-0009;OP-0010;OP-0011;OP-0012;OP-0046;OP-0058,P0,,FAIL
FUNC-FEATURE-010,G03,chat and streaming,NDJSON stream and GUI renderer,Stream integrity,Reconstruct meta/delta/event/done and compare one non-duplicated GUI final,all_active,FUNC-0040;FUNC-0048;FUNC-0060;FUNC-0076,OP-0040;OP-0048;OP-0060,P0,,FAIL
FUNC-FEATURE-011,G03,chat and streaming,Command Center Dialog,Clarification behavior,"Run unambiguous, ambiguous and safe-default requests; verify question count and continuation",gemma4-turbo,FUNC-0022;FUNC-0023;FUNC-0024,OP-0022;OP-0023;OP-0024,P1,,FAIL
FUNC-FEATURE-012,G04,conversations/history,Dialog windows and History,Multi-turn reference resolution,"Use pronouns, second option and changed constraints without losing context",all_active,FUNC-0014;FUNC-0015;FUNC-0017;FUNC-0047;FUNC-0059,OP-0014;OP-0015;OP-0017;OP-0047;OP-0059,P0,,FAIL
FUNC-FEATURE-013,G04,conversations/history,History and durable messages,Restore and revise,"Reload history, revise prior answer and return to original goal",gemma4-turbo,FUNC-0018;FUNC-0019,OP-0018;OP-0019,P1,,INCONCLUSIVE
FUNC-FEATURE-014,G04,conversations/history,Multiple chat windows,Cross-session isolation,Run parallel conversations and verify no instruction or content mixing,all_active,FUNC-0020;FUNC-0021;FUNC-0054;FUNC-0066;FUNC-0077,OP-0020;OP-0021;OP-0054;OP-0066,P0,,INCONCLUSIVE
FUNC-FEATURE-015,G04,conversations/history,Trace page and feedback,Traceable answer,Open the trace for a saved answer and verify it belongs to the selected message,gemma4-turbo,FUNC-0040,OP-0040,P1,,FAIL
FUNC-FEATURE-016,G05,tools and approvals,Chat tool loop,No unnecessary tools,Ask a knowledge-only task and verify no irrelevant tool run,gemma4-turbo,FUNC-0005,OP-0005,P0,,PASS
FUNC-FEATURE-017,G05,tools and approvals,Command Center Tools,Ordinary safe tool,Run a read-only status or public fetch and receive the actual result,all_active,FUNC-0037;FUNC-0049;FUNC-0061,OP-0037;OP-0049;OP-0061,P0,,FAIL
FUNC-FEATURE-018,G05,tools and approvals,Command Center Approvals,Exact approval binding,Create a review gate; approve only the requested harmless action; verify one-shot result,gemma4-turbo,FUNC-0037;FUNC-0082,OP-0037,P0,Dangerous host actions remain blocked without a dedicated reversible fixture,FAIL
FUNC-FEATURE-019,G06,files/documents,Chat attachment and Files panel,"Upload, summarize and retrieve",Upload a synthetic file; summarize it; find a unique fact; recall it later,all_active,FUNC-0025;FUNC-0026;FUNC-0032;FUNC-0050;FUNC-0062,OP-0025;OP-0026;OP-0032;OP-0050;OP-0062,P0,,FAIL
FUNC-FEATURE-020,G06,files/documents,Document tools through GUI,Compare and extract structure,Compare two synthetic documents and extract a table with source fidelity,gemma4-turbo,FUNC-0027;FUNC-0028,OP-0027;OP-0028,P1,,FAIL
FUNC-FEATURE-021,G06,files/documents,Document output tools,"Create, edit copy and convert",Create uniquely named output; edit only a copy; convert format; verify hashes,gemma4-turbo,FUNC-0013;FUNC-0029;FUNC-0030;FUNC-0031,OP-0013;OP-0029;OP-0030;OP-0031,P0,,FAIL
FUNC-FEATURE-022,G06,files/documents,Document error path,Corrupt or unsupported input,Receive a short actionable error without partial published output,all_active,FUNC-0033;FUNC-0051;FUNC-0063,OP-0033;OP-0051;OP-0063,P0,,FAIL
