case_id,run_number,profile,surface,conversation_id,start_utc,duration,intent_fidelity,task_completion,constraint_adherence,truthfulness,response_integrity,state_consistency,recovery_quality,ux_clarity,overall_status,evidence_ids,finding_ids,notes
"Q001","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q001","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q002","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q002","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q003","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q003","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q004","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q004","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q005","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q005","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q006","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q006","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q006","3","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q007","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q007","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q007","3","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q008","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q008","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q009","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q009","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q010","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q010","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q010","3","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q011","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q011","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q012","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q012","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q013","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q013","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q014","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q014","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q014","3","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q015","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q015","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q015","3","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q016","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q016","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q016","3","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q017","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q017","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q018","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q018","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q019","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q019","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q019","3","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q020","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q020","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q020","3","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q021","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q021","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q021","3","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q022","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q022","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q023","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q023","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q023","3","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q024","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q024","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q024","3","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q025","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q025","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q026","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q026","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q027","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q027","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q028","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q028","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q029","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q029","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q030","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q030","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q031","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q031","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q032","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q032","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q033","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q033","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q033","3","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q034","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q034","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q034","3","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q035","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q035","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q035","3","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q036","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q036","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q036","3","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q037","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q037","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q038","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q038","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q039","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q039","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q039","3","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q040","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q040","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q040","3","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q041","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q041","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q041","3","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q042","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q042","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q042","3","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q043","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q043","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q043","3","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q044","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q044","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q044","3","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q045","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q045","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q045","3","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q046","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q046","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q047","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q047","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q047","3","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q048","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q048","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q049","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q049","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q050","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q050","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q050","3","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q051","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q051","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q051","3","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q052","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q052","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q053","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q053","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q054","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q054","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q054","3","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q055","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q055","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q055","3","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q056","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q056","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q056","3","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q057","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q057","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q057","3","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q058","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q058","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q058","3","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q059","1","qwen36-vl","Telegram+GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q059","2","qwen36-vl","Telegram+GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q059","3","qwen36-vl","Telegram+GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q060","1","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
"Q060","2","qwen36-vl","GUI","","","","","","","","","","","","NOT_RUN","","",""
